Gene,albidoflavus_J1074_R2,Sign
group_5921,MBMJMBDD_01916,-
group_5922,MBMJMBDD_02844,+
group_5923,MBMJMBDD_01945,-
ispG,MBMJMBDD_01164,-
group_5929,MBMJMBDD_04995,+
group_5930,MBMJMBDD_01444,+
group_5931,MBMJMBDD_05531,-
group_5932,MBMJMBDD_01111,-
rbpA_2,MBMJMBDD_05525,-
rpoZ,MBMJMBDD_05475,+
infC,MBMJMBDD_05331,+
prcB,MBMJMBDD_05285,+
prmC_2,MBMJMBDD_01475,-
novJ_2,MBMJMBDD_05594,+
group_5942,MBMJMBDD_02733,-
group_5943,MBMJMBDD_01536,+
rpmB,MBMJMBDD_01244,+
group_5945,MBMJMBDD_01462,-
ilvH,MBMJMBDD_01322,-
artQ_1,MBMJMBDD_01735,+
group_5948,MBMJMBDD_05264,+
group_5949,MBMJMBDD_02886,-
clpP1_2,MBMJMBDD_04423,+
scoF_3,MBMJMBDD_04955,+
group_5952,MBMJMBDD_02346,-
group_5953,MBMJMBDD_01454,-
rpsG,MBMJMBDD_03817,+
group_5955,MBMJMBDD_04841,+
group_5956,MBMJMBDD_02732,-
whiB_2,MBMJMBDD_01925,-
rpsF,MBMJMBDD_03027,-
mraY,MBMJMBDD_04891,+
fadA_4,MBMJMBDD_05962,+
carD,MBMJMBDD_02571,-
mtcA1,MBMJMBDD_04885,-
ectC,MBMJMBDD_05059,-
cobO,MBMJMBDD_05069,-
glnA_1,MBMJMBDD_04730,+
dps_2,MBMJMBDD_02613,-
hisE,MBMJMBDD_05512,+
yceD_3,MBMJMBDD_04629,+
rcp1_2,MBMJMBDD_05723,+
lsr2_2,MBMJMBDD_03578,+
glyQS,MBMJMBDD_04518,+
whmD,MBMJMBDD_00314,-
rsbV_3,MBMJMBDD_02708,-
cseB_1,MBMJMBDD_01525,+
ssuB_2,MBMJMBDD_00718,+
group_5975,MBMJMBDD_00535,+
rpsO,MBMJMBDD_01134,-
group_5977,MBMJMBDD_05114,+
rplC,MBMJMBDD_03825,+
group_5979,MBMJMBDD_01232,-
group_5980,MBMJMBDD_03064,+
nuoA,MBMJMBDD_03726,+
ccpA_4,MBMJMBDD_03419,-
group_5983,MBMJMBDD_05081,+
rpsC,MBMJMBDD_03831,+
fkbP,MBMJMBDD_05291,+
gntR_2,MBMJMBDD_04799,-
group_5987,MBMJMBDD_05222,-
rpmD,MBMJMBDD_03843,+
recR,MBMJMBDD_02763,-
rplM,MBMJMBDD_03856,+
rsbW,MBMJMBDD_01566,+
group_5992,MBMJMBDD_05449,+
group_5993,MBMJMBDD_05127,-
rpsP,MBMJMBDD_01219,-
groS_1,MBMJMBDD_01775,-
group_5996,MBMJMBDD_01218,-
sucC,MBMJMBDD_03960,+
mtrA,MBMJMBDD_01899,-
group_5999,MBMJMBDD_03080,+
group_60,MBMJMBDD_00629,+
ylmA_2,MBMJMBDD_05124,+
walK,MBMJMBDD_05336,+
group_6002,MBMJMBDD_05123,-
group_6003,MBMJMBDD_05695,-
secF,MBMJMBDD_05440,+
group_6005,MBMJMBDD_00824,-
aroB,MBMJMBDD_05459,+
group_6007,MBMJMBDD_01500,-
yccF,MBMJMBDD_03784,+
group_6009,MBMJMBDD_02847,+
ycjP_1,MBMJMBDD_04745,+
group_6011,MBMJMBDD_04280,+
group_6012,MBMJMBDD_00412,+
group_6013,MBMJMBDD_00485,-
purL,MBMJMBDD_02893,-
rplT,MBMJMBDD_05333,+
hisS,MBMJMBDD_05447,+
purQ,MBMJMBDD_02894,-
aviRb_2,MBMJMBDD_05334,+
group_6019,MBMJMBDD_01132,-
group_6020,MBMJMBDD_03625,-
rsfS,MBMJMBDD_04457,+
group_6022,MBMJMBDD_03885,+
kgd,MBMJMBDD_01527,+
recF,MBMJMBDD_03056,+
group_6025,MBMJMBDD_04984,+
group_6026,MBMJMBDD_04192,+
accD5,MBMJMBDD_04121,-
dut,MBMJMBDD_01007,-
pta,MBMJMBDD_01411,+
pdxS,MBMJMBDD_05432,+
sdhB,MBMJMBDD_04029,-
group_6032,MBMJMBDD_02561,-
epi,MBMJMBDD_01442,+
corA_1,MBMJMBDD_01649,+
paaJ_2,MBMJMBDD_02164,+
fusA,MBMJMBDD_03818,+
ilvB1,MBMJMBDD_01323,-
group_6038,MBMJMBDD_01733,-
group_6039,MBMJMBDD_04639,-
dtpT_2,MBMJMBDD_03749,-
nqo4,MBMJMBDD_03565,+
group_6042,MBMJMBDD_01455,-
rdlB_2,MBMJMBDD_02173,+
tuf_1,MBMJMBDD_03819,+
group_6045,MBMJMBDD_00723,-
gltC_2,MBMJMBDD_04394,+
group_6047,MBMJMBDD_02241,+
group_6048,MBMJMBDD_01006,-
gltR,MBMJMBDD_02997,+
group_6050,MBMJMBDD_01417,-
group_6051,MBMJMBDD_05120,+
dcd,MBMJMBDD_03226,-
cysG_2,MBMJMBDD_05397,+
group_6054,MBMJMBDD_04881,+
group_6055,MBMJMBDD_02990,+
lysA_1,MBMJMBDD_01483,-
sepF_2,MBMJMBDD_04899,+
potB,MBMJMBDD_01177,-
group_6059,MBMJMBDD_03707,+
lacC_1,MBMJMBDD_00027,+
degU_2,MBMJMBDD_01894,-
group_6061,MBMJMBDD_02227,-
atpA,MBMJMBDD_01466,-
prfA,MBMJMBDD_01476,-
xylE,MBMJMBDD_01230,-
fgd_2,MBMJMBDD_00825,+
cysG_1,MBMJMBDD_03630,+
group_6067,MBMJMBDD_01645,-
group_6068,MBMJMBDD_05656,-
group_6069,MBMJMBDD_05078,+
group_607,MBMJMBDD_00032,-
ispH2,MBMJMBDD_04242,+
bkdB_1,MBMJMBDD_03103,+
gntT_1,MBMJMBDD_05247,-
group_6073,MBMJMBDD_00250,-
sigD,MBMJMBDD_01205,-
COQ5_5,MBMJMBDD_04663,+
ybiT_1,MBMJMBDD_00461,-
yceD_1,MBMJMBDD_02420,+
yfmJ_3,MBMJMBDD_04602,+
group_6079,MBMJMBDD_01722,+
abaF_1,MBMJMBDD_00053,+
guaA,MBMJMBDD_03917,+
rhmR,MBMJMBDD_01258,+
btuD_1,MBMJMBDD_00271,-
paaG,MBMJMBDD_01663,+
ipuC,MBMJMBDD_05321,+
group_6085,MBMJMBDD_02078,+
tkt,MBMJMBDD_05028,-
putC,MBMJMBDD_01313,-
group_6088,MBMJMBDD_00090,-
group_6089,MBMJMBDD_03659,+
rppH_1,MBMJMBDD_00056,-
ald,MBMJMBDD_05152,+
rpoC,MBMJMBDD_03809,+
tgnC,MBMJMBDD_04103,-
truB,MBMJMBDD_01145,-
ycbX,MBMJMBDD_00063,+
ctaB,MBMJMBDD_05029,+
glnB_2,MBMJMBDD_04757,-
icd,MBMJMBDD_05353,+
group_6107,MBMJMBDD_00695,-
yceD_2,MBMJMBDD_02869,-
lpdA,MBMJMBDD_04111,+
alkB,MBMJMBDD_00072,-
mamB,MBMJMBDD_01913,-
fadM,MBMJMBDD_01314,-
amtB,MBMJMBDD_01226,-
ybeY,MBMJMBDD_04502,+
rpoB,MBMJMBDD_03808,+
pheA,MBMJMBDD_02969,+
group_6116,MBMJMBDD_01000,-
group_6117,MBMJMBDD_01497,+
group_6118,MBMJMBDD_04310,-
group_6119,MBMJMBDD_01348,+
liaR_1,MBMJMBDD_00076,+
dnaJ2,MBMJMBDD_04482,+
aceE_2,MBMJMBDD_04626,-
poxB,MBMJMBDD_00668,-
sorC,MBMJMBDD_05489,+
atpB,MBMJMBDD_01470,-
thrB,MBMJMBDD_01480,-
yceC_1,MBMJMBDD_00953,-
glnA_2,MBMJMBDD_04783,-
ddmA1,MBMJMBDD_04577,-
ngcF,MBMJMBDD_00777,-
group_613,MBMJMBDD_00097,+
group_6130,MBMJMBDD_04195,+
uox,MBMJMBDD_00633,-
fadJ_3,MBMJMBDD_00766,+
rpe,MBMJMBDD_05488,+
argH,MBMJMBDD_05378,+
group_6135,MBMJMBDD_01848,-
pknD_2,MBMJMBDD_02015,-
ilvD,MBMJMBDD_03601,+
cmk,MBMJMBDD_05163,+
group_6139,MBMJMBDD_05744,+
group_614,MBMJMBDD_00103,-
group_6140,MBMJMBDD_01542,-
COQ2,MBMJMBDD_03662,+
mshA_2,MBMJMBDD_03478,+
group_6143,MBMJMBDD_00382,-
whiA,MBMJMBDD_05017,+
ubiX,MBMJMBDD_03663,+
group_6146,MBMJMBDD_01509,-
group_6147,MBMJMBDD_05304,+
group_6148,MBMJMBDD_04125,+
sepF_3,MBMJMBDD_05176,-
namA,MBMJMBDD_00107,+
group_6150,MBMJMBDD_05387,-
group_6151,MBMJMBDD_04360,+
group_6152,MBMJMBDD_06018,+
dasA_1,MBMJMBDD_01577,-
sigF_2,MBMJMBDD_01567,+
mcm,MBMJMBDD_01420,-
group_6156,MBMJMBDD_05126,+
oppA_2,MBMJMBDD_01704,-
group_6158,MBMJMBDD_02417,-
map-1_2,MBMJMBDD_03847,+
murK_1,MBMJMBDD_00111,+
group_6160,MBMJMBDD_00957,-
sdaA,MBMJMBDD_01364,+
whiD,MBMJMBDD_03899,-
group_6163,MBMJMBDD_01441,-
ispD,MBMJMBDD_02570,-
group_6167,MBMJMBDD_03650,-
rsmD,MBMJMBDD_01241,-
group_6169,MBMJMBDD_05485,+
group_617,MBMJMBDD_00114,+
group_6170,MBMJMBDD_01600,-
tesB_2,MBMJMBDD_04313,+
glmM,MBMJMBDD_03858,+
group_6173,MBMJMBDD_03999,+
glyA2,MBMJMBDD_01363,+
purK,MBMJMBDD_01964,-
group_6176,MBMJMBDD_00357,-
proC_2,MBMJMBDD_03609,+
rimO,MBMJMBDD_01114,-
group_6179,MBMJMBDD_02018,-
gadA_1,MBMJMBDD_00117,+
group_6180,MBMJMBDD_01227,-
ychF,MBMJMBDD_04245,+
frcA,MBMJMBDD_00773,-
group_6183,MBMJMBDD_01874,+
lldR_1,MBMJMBDD_05110,-
coaA,MBMJMBDD_03859,-
group_6186,MBMJMBDD_00303,+
ahpD,MBMJMBDD_04218,+
nrdB,MBMJMBDD_01582,+
group_6189,MBMJMBDD_01189,+
aspC1,MBMJMBDD_03799,-
legI,MBMJMBDD_04058,+
group_6192,MBMJMBDD_05623,+
group_6193,MBMJMBDD_01228,+
group_6194,MBMJMBDD_01431,+
ribBA,MBMJMBDD_05510,+
group_6196,MBMJMBDD_00341,+
acrC_2,MBMJMBDD_04312,+
disA,MBMJMBDD_03590,-
lon_1,MBMJMBDD_01515,-
copA,MBMJMBDD_00890,-
recO,MBMJMBDD_04512,+
citT_1,MBMJMBDD_04579,+
group_6202,MBMJMBDD_00728,+
metG,MBMJMBDD_03207,+
group_6204,MBMJMBDD_04665,-
sglT,MBMJMBDD_02083,+
tyrS,MBMJMBDD_05106,-
group_6207,MBMJMBDD_00319,-
tesB_1,MBMJMBDD_00177,+
murAA_2,MBMJMBDD_01846,+
group_6210,MBMJMBDD_01568,-
rplL,MBMJMBDD_03807,+
yegS,MBMJMBDD_01569,+
glkA_1,MBMJMBDD_00551,-
group_6214,MBMJMBDD_00176,+
tdcB_2,MBMJMBDD_04138,+
yhdG_2,MBMJMBDD_00816,-
ahcY,MBMJMBDD_01912,-
frdA,MBMJMBDD_05767,+
glpQ_1,MBMJMBDD_00092,+
group_622,MBMJMBDD_00205,+
vraR_2,MBMJMBDD_04621,-
pdtaS,MBMJMBDD_01571,-
group_6222,MBMJMBDD_01020,+
group_6223,MBMJMBDD_04160,-
group_6224,MBMJMBDD_02059,-
ubiD,MBMJMBDD_03661,+
group_6226,MBMJMBDD_04285,-
ypdB,MBMJMBDD_05749,+
tal_2,MBMJMBDD_05027,-
cobIJ,MBMJMBDD_04769,+
group_623,MBMJMBDD_00153,+
group_6230,MBMJMBDD_00545,+
group_6231,MBMJMBDD_01751,-
group_6232,MBMJMBDD_04110,-
glpR,MBMJMBDD_00970,+
yfiZ_1,MBMJMBDD_00448,+
kgtP_2,MBMJMBDD_01372,+
clpP1_1,MBMJMBDD_00231,-
paaJ_1,MBMJMBDD_00765,+
nagC_1,MBMJMBDD_00775,-
gatY,MBMJMBDD_02415,+
group_624,MBMJMBDD_00162,-
argG,MBMJMBDD_01518,-
mnmA,MBMJMBDD_01347,-
hisG,MBMJMBDD_05513,+
group_6245,MBMJMBDD_00544,+
group_6246,MBMJMBDD_03624,-
group_6247,MBMJMBDD_03190,+
group_6248,MBMJMBDD_04418,-
group_6249,MBMJMBDD_04503,+
ssuB_1,MBMJMBDD_00164,+
murT,MBMJMBDD_05698,-
rnc,MBMJMBDD_01236,-
group_6252,MBMJMBDD_01544,+
ideR,MBMJMBDD_02268,-
secA,MBMJMBDD_01891,-
ptsI_2,MBMJMBDD_05552,-
group_6256,MBMJMBDD_00088,+
thlA_2,MBMJMBDD_01991,+
group_6258,MBMJMBDD_04166,-
grpE,MBMJMBDD_03267,+
ssuA,MBMJMBDD_00165,+
dasC_3,MBMJMBDD_01575,-
group_6261,MBMJMBDD_05153,+
gap2_3,MBMJMBDD_05018,+
group_6263,MBMJMBDD_02008,-
group_6264,MBMJMBDD_02995,+
eno_1,MBMJMBDD_02009,-
czcO,MBMJMBDD_00167,+
fepD_2,MBMJMBDD_00854,-
pfkA2_2,MBMJMBDD_05696,-
dnaK,MBMJMBDD_03266,+
hemL,MBMJMBDD_03652,+
ohrB,MBMJMBDD_04603,+
fhaB,MBMJMBDD_03089,-
group_6277,MBMJMBDD_02957,+
leuC,MBMJMBDD_01257,-
pbuG,MBMJMBDD_00655,-
group_628,MBMJMBDD_00178,+
group_6280,MBMJMBDD_05394,+
korA,MBMJMBDD_03769,-
sepF_1,MBMJMBDD_00829,-
group_6283,MBMJMBDD_01603,+
atpG,MBMJMBDD_01465,-
group_6285,MBMJMBDD_04197,+
group_6286,MBMJMBDD_05593,+
pstP,MBMJMBDD_03088,-
coaD,MBMJMBDD_01240,-
ppgK,MBMJMBDD_04243,+
group_629,MBMJMBDD_00179,-
group_6290,MBMJMBDD_03425,+
lutB,MBMJMBDD_00835,-
korB,MBMJMBDD_03768,-
gpmA_1,MBMJMBDD_01058,-
liaR_8,MBMJMBDD_05121,+
ylbL,MBMJMBDD_01604,-
group_6296,MBMJMBDD_03030,+
group_6297,MBMJMBDD_03553,+
etfA,MBMJMBDD_00084,-
group_6299,MBMJMBDD_04789,+
group_630,MBMJMBDD_00181,+
group_6300,MBMJMBDD_01922,+
aceE_3,MBMJMBDD_04798,-
gpgP,MBMJMBDD_04458,+
clpS,MBMJMBDD_01793,-
group_6304,MBMJMBDD_04391,+
group_6305,MBMJMBDD_01421,-
group_6306,MBMJMBDD_02556,+
aroC,MBMJMBDD_05457,+
pnp_1,MBMJMBDD_01133,-
trpB,MBMJMBDD_04940,+
COQ5_1,MBMJMBDD_00183,+
hrcA,MBMJMBDD_04481,+
group_6311,MBMJMBDD_01017,+
group_6312,MBMJMBDD_05280,+
group_6313,MBMJMBDD_00393,-
csd_3,MBMJMBDD_05040,+
proB,MBMJMBDD_04447,+
pdtaR,MBMJMBDD_04969,+
hutH,MBMJMBDD_04126,+
der,MBMJMBDD_05165,+
fadF,MBMJMBDD_03217,+
group_632,MBMJMBDD_00187,-
relA,MBMJMBDD_05442,+
paaF,MBMJMBDD_04124,+
group_6322,MBMJMBDD_02260,-
glmS_3,MBMJMBDD_04281,-
dapE_3,MBMJMBDD_01672,-
phoU2,MBMJMBDD_02575,+
group_6326,MBMJMBDD_04884,-
group_6327,MBMJMBDD_01268,-
xylA,MBMJMBDD_00193,-
group_6329,MBMJMBDD_01653,+
group_633,MBMJMBDD_00190,+
lpdC,MBMJMBDD_00677,+
adhC2,MBMJMBDD_04131,+
group_6332,MBMJMBDD_04656,-
rnhB,MBMJMBDD_01055,-
group_6334,MBMJMBDD_03033,+
caiD_3,MBMJMBDD_05082,+
ngcE,MBMJMBDD_00778,-
group_6337,MBMJMBDD_05115,-
sigF_3,MBMJMBDD_02934,+
rpsA,MBMJMBDD_04982,+
group_634,MBMJMBDD_00192,-
group_6340,MBMJMBDD_04785,-
group_6341,MBMJMBDD_01654,+
group_6342,MBMJMBDD_03708,+
dop,MBMJMBDD_05283,+
deoC,MBMJMBDD_04105,-
group_6345,MBMJMBDD_04848,-
kdpE_1,MBMJMBDD_01001,-
lvr_2,MBMJMBDD_05323,+
group_6348,MBMJMBDD_05532,+
group_6349,MBMJMBDD_04857,+
yfmJ_1,MBMJMBDD_00199,-
group_6350,MBMJMBDD_00487,-
gpt,MBMJMBDD_03225,-
rplS,MBMJMBDD_01215,-
obg,MBMJMBDD_04443,+
pheP,MBMJMBDD_01790,-
dnaE2,MBMJMBDD_05191,+
group_6356,MBMJMBDD_05526,-
group_6357,MBMJMBDD_04842,+
group_6358,MBMJMBDD_00012,-
group_636,MBMJMBDD_00200,-
group_6361,MBMJMBDD_04719,+
group_637,MBMJMBDD_00226,-
gltB,MBMJMBDD_04952,+
group_6371,MBMJMBDD_02330,-
crp_2,MBMJMBDD_03815,-
dmdB,MBMJMBDD_02950,-
yhdG_4,MBMJMBDD_05319,-
group_6375,MBMJMBDD_02904,-
group_6376,MBMJMBDD_04856,-
trmI,MBMJMBDD_05279,+
glnQ_2,MBMJMBDD_01085,+
rex,MBMJMBDD_03627,+
group_638,MBMJMBDD_00229,+
trpC,MBMJMBDD_04939,+
group_6381,MBMJMBDD_05971,-
gltC_4,MBMJMBDD_05765,-
ectB_2,MBMJMBDD_05060,-
dapL,MBMJMBDD_01676,-
orn,MBMJMBDD_04277,-
pyrF,MBMJMBDD_05472,+
purD_1,MBMJMBDD_02906,-
group_639,MBMJMBDD_00253,-
bphA3,MBMJMBDD_05038,+
rbsC_1,MBMJMBDD_00391,-
serA,MBMJMBDD_01320,-
group_6396,MBMJMBDD_04800,-
guaB1,MBMJMBDD_05495,+
group_6398,MBMJMBDD_01474,-
atpD,MBMJMBDD_01464,-
ctpA_2,MBMJMBDD_04330,-
group_640,MBMJMBDD_00270,-
nuoN,MBMJMBDD_03739,+
group_6401,MBMJMBDD_02317,-
fba,MBMJMBDD_03291,+
group_6403,MBMJMBDD_01839,-
group_6404,MBMJMBDD_02719,+
maiA_1,MBMJMBDD_01729,-
group_6406,MBMJMBDD_05850,-
mcd,MBMJMBDD_00457,+
atpC,MBMJMBDD_01463,-
nuoM,MBMJMBDD_03738,+
group_6410,MBMJMBDD_01473,-
gatA,MBMJMBDD_01338,-
dapE_4,MBMJMBDD_05253,+
dapA,MBMJMBDD_01126,-
pal,MBMJMBDD_04202,+
group_6415,MBMJMBDD_03294,+
nucS,MBMJMBDD_01452,+
gyrBR,MBMJMBDD_03058,+
fadA_1,MBMJMBDD_00298,-
btuD_8,MBMJMBDD_01700,-
group_642,MBMJMBDD_00272,-
group_6420,MBMJMBDD_03582,+
pyk_1,MBMJMBDD_01413,+
radA_1,MBMJMBDD_03022,-
acuC,MBMJMBDD_03616,+
group_6424,MBMJMBDD_05117,-
ydjF,MBMJMBDD_04811,+
group_6426,MBMJMBDD_02987,+
dppB_1,MBMJMBDD_01138,+
group_6428,MBMJMBDD_03132,-
gyrA_2,MBMJMBDD_03059,+
dpgD,MBMJMBDD_00282,+
spoIIAB,MBMJMBDD_02707,-
group_6431,MBMJMBDD_04031,-
group_6432,MBMJMBDD_02355,+
aroH,MBMJMBDD_04862,+
davT,MBMJMBDD_02768,-
alaS_2,MBMJMBDD_05453,+
pyk_2,MBMJMBDD_04966,+
entH,MBMJMBDD_04976,-
group_6438,MBMJMBDD_03710,+
iolS_1,MBMJMBDD_01326,+
group_644,MBMJMBDD_00283,+
ndhC_2,MBMJMBDD_03773,+
group_6441,MBMJMBDD_02400,-
group_6442,MBMJMBDD_01616,-
group_6443,MBMJMBDD_01611,-
glpD2_1,MBMJMBDD_03905,+
dppA_1,MBMJMBDD_00440,-
osmC,MBMJMBDD_00414,-
tolB,MBMJMBDD_02755,+
rsgA_2,MBMJMBDD_01593,+
mrp,MBMJMBDD_01655,+
ade_1,MBMJMBDD_00289,+
group_6450,MBMJMBDD_00275,-
folP2,MBMJMBDD_01667,+
group_6452,MBMJMBDD_03045,-
glgX_1,MBMJMBDD_00731,+
group_6454,MBMJMBDD_01856,-
hrdB_1,MBMJMBDD_01047,-
nuoH_3,MBMJMBDD_03776,+
group_6457,MBMJMBDD_02563,-
group_6458,MBMJMBDD_04794,-
group_6459,MBMJMBDD_03340,+
ccrA2,MBMJMBDD_00453,+
acm_1,MBMJMBDD_00206,+
group_6462,MBMJMBDD_02586,-
group_6463,MBMJMBDD_04932,-
fadB2,MBMJMBDD_05343,-
sodN,MBMJMBDD_01549,+
mqnE,MBMJMBDD_03666,+
copR_2,MBMJMBDD_04836,-
group_6468,MBMJMBDD_02972,-
asd_1,MBMJMBDD_02759,-
group_647,MBMJMBDD_00334,-
group_6470,MBMJMBDD_05544,+
fgd_5,MBMJMBDD_03647,+
group_6472,MBMJMBDD_05157,+
codAch2,MBMJMBDD_03790,-
nadD,MBMJMBDD_04455,+
hisD,MBMJMBDD_04923,+
group_6476,MBMJMBDD_03272,+
appC,MBMJMBDD_02984,-
whiB_3,MBMJMBDD_02736,-
group_6479,MBMJMBDD_02004,+
group_648,MBMJMBDD_00338,+
zwf2,MBMJMBDD_05026,-
pyrG,MBMJMBDD_05149,+
clpP2_2,MBMJMBDD_04424,+
group_6483,MBMJMBDD_05704,+
exuR,MBMJMBDD_02986,+
fumA,MBMJMBDD_04231,-
proS,MBMJMBDD_01155,-
nudL,MBMJMBDD_02727,-
shbA,MBMJMBDD_03901,+
pckG,MBMJMBDD_04159,+
group_649,MBMJMBDD_00339,-
group_6490,MBMJMBDD_04432,+
rsbV_2,MBMJMBDD_02252,-
yabJ,MBMJMBDD_04169,+
fepC_5,MBMJMBDD_03249,+
gbpA_1,MBMJMBDD_01743,-
fadD3,MBMJMBDD_00643,-
menJ,MBMJMBDD_03724,+
group_6497,MBMJMBDD_02965,+
sugA,MBMJMBDD_00972,+
asnC_2,MBMJMBDD_01805,+
group_65,MBMJMBDD_01144,-
griR_1,MBMJMBDD_00340,-
group_6500,MBMJMBDD_03853,+
group_6501,MBMJMBDD_02348,-
group_6502,MBMJMBDD_00884,-
pyrH,MBMJMBDD_01200,-
ahpE,MBMJMBDD_04628,+
gtaB,MBMJMBDD_02135,-
group_6506,MBMJMBDD_00112,+
mglA_1,MBMJMBDD_00371,-
rsrA,MBMJMBDD_01587,-
group_6509,MBMJMBDD_01359,-
group_651,MBMJMBDD_00342,+
pbsA1,MBMJMBDD_04716,-
kstR2,MBMJMBDD_05234,+
smpB,MBMJMBDD_01861,-
ribM,MBMJMBDD_05509,+
group_6514,MBMJMBDD_04645,-
group_6515,MBMJMBDD_04490,+
lon_2,MBMJMBDD_04920,-
group_6517,MBMJMBDD_04342,+
mctC_2,MBMJMBDD_05098,+
yfcA,MBMJMBDD_04549,+
slyA,MBMJMBDD_00349,+
sigE_4,MBMJMBDD_03586,-
fabH_1,MBMJMBDD_00394,-
fbiD_2,MBMJMBDD_02448,-
artM,MBMJMBDD_01545,+
nuoF,MBMJMBDD_03731,+
argJ,MBMJMBDD_05368,+
ppdK,MBMJMBDD_04548,+
gbsA,MBMJMBDD_03977,+
group_6528,MBMJMBDD_04905,+
gsiD_5,MBMJMBDD_01697,-
pobB,MBMJMBDD_00353,-
group_6530,MBMJMBDD_05048,-
group_6531,MBMJMBDD_01586,-
macB_1,MBMJMBDD_02000,+
cugP_2,MBMJMBDD_05558,+
yceC_2,MBMJMBDD_05005,+
rpsM,MBMJMBDD_03850,+
czcD,MBMJMBDD_00278,+
yidA_1,MBMJMBDD_02971,+
group_6538,MBMJMBDD_02213,-
ettA_2,MBMJMBDD_02089,-
nadX,MBMJMBDD_00359,-
punA,MBMJMBDD_04109,-
regX3_2,MBMJMBDD_01967,-
rplK,MBMJMBDD_03803,+
rplA,MBMJMBDD_03804,+
mdh,MBMJMBDD_03973,+
group_6545,MBMJMBDD_04223,-
groL2,MBMJMBDD_02397,-
ctaD_2,MBMJMBDD_00847,+
rplJ,MBMJMBDD_03806,+
ffh,MBMJMBDD_01223,-
adoK,MBMJMBDD_04821,+
ftsH_3,MBMJMBDD_03528,+
iclR_1,MBMJMBDD_00564,+
guaB,MBMJMBDD_03902,+
add2,MBMJMBDD_01183,+
gcvT_2,MBMJMBDD_03435,+
murG,MBMJMBDD_04894,+
group_6557,MBMJMBDD_03903,+
def_1,MBMJMBDD_01585,-
gpsA,MBMJMBDD_01250,-
betB,MBMJMBDD_00361,-
wbpA,MBMJMBDD_03904,-
qcrB,MBMJMBDD_04831,+
group_6562,MBMJMBDD_04492,+
acdA_4,MBMJMBDD_05701,+
hspR,MBMJMBDD_03269,+
mutT2,MBMJMBDD_01711,-
group_6566,MBMJMBDD_04992,-
group_6567,MBMJMBDD_04011,-
ftsZ,MBMJMBDD_04896,+
nusG,MBMJMBDD_03802,+
group_657,MBMJMBDD_00366,+
htpX_4,MBMJMBDD_05713,-
glpX,MBMJMBDD_04236,-
group_6572,MBMJMBDD_00971,+
group_6573,MBMJMBDD_01879,-
trxB,MBMJMBDD_03043,+
glnM_1,MBMJMBDD_00496,-
group_6576,MBMJMBDD_00542,+
gabD1_2,MBMJMBDD_04762,-
murAA_1,MBMJMBDD_00785,+
group_6579,MBMJMBDD_02955,-
group_658,MBMJMBDD_00383,-
kdsB,MBMJMBDD_04057,+
fadJ_1,MBMJMBDD_00297,-
group_6582,MBMJMBDD_01915,-
aspS,MBMJMBDD_03184,+
group_6584,MBMJMBDD_01157,-
rip1,MBMJMBDD_01165,-
dppB_3,MBMJMBDD_01698,-
dppB_2,MBMJMBDD_01356,-
hisF,MBMJMBDD_04930,+
lepA,MBMJMBDD_04475,+
group_659,MBMJMBDD_00387,-
oppD_5,MBMJMBDD_01701,-
dxs,MBMJMBDD_00771,-
hemE,MBMJMBDD_00761,-
greA,MBMJMBDD_04141,-
dasA_2,MBMJMBDD_01843,-
murF_2,MBMJMBDD_04890,+
moeZ,MBMJMBDD_01629,-
group_6597,MBMJMBDD_00554,-
leuE,MBMJMBDD_04053,+
plsC_2,MBMJMBDD_05383,-
iolG_1,MBMJMBDD_00388,-
sigR,MBMJMBDD_01588,-
gyrA_1,MBMJMBDD_01032,+
group_6602,MBMJMBDD_00772,-
nuoH_2,MBMJMBDD_03733,+
yieH_2,MBMJMBDD_04779,-
group_6605,MBMJMBDD_02940,+
tal_1,MBMJMBDD_01631,-
group_6607,MBMJMBDD_05015,+
maiA_2,MBMJMBDD_01730,-
ctaD_3,MBMJMBDD_04824,+
group_6610,MBMJMBDD_05036,+
egtC,MBMJMBDD_05774,-
group_6612,MBMJMBDD_02726,-
group_6613,MBMJMBDD_02203,-
mrdA_3,MBMJMBDD_04434,+
group_6615,MBMJMBDD_02675,-
sucD_2,MBMJMBDD_03961,+
group_6617,MBMJMBDD_03588,-
acdS,MBMJMBDD_04491,+
mmcR,MBMJMBDD_00415,+
tig,MBMJMBDD_04422,+
codA,MBMJMBDD_03978,+
rutD_1,MBMJMBDD_00505,-
group_663,MBMJMBDD_00420,-
group_6630,MBMJMBDD_05542,+
snpA,MBMJMBDD_04012,+
group_6632,MBMJMBDD_02873,-
ppc,MBMJMBDD_02073,-
gabT,MBMJMBDD_01171,+
opuCB,MBMJMBDD_01806,+
lppS,MBMJMBDD_04826,+
drrA_7,MBMJMBDD_05034,-
recA,MBMJMBDD_01093,-
dinG_4,MBMJMBDD_05091,-
nap,MBMJMBDD_00427,-
nagE2,MBMJMBDD_01784,+
lnrL_4,MBMJMBDD_02973,-
group_6642,MBMJMBDD_03341,+
pstB1,MBMJMBDD_03342,-
group_6644,MBMJMBDD_05913,+
group_6645,MBMJMBDD_05657,-
sdhA,MBMJMBDD_04030,-
group_6647,MBMJMBDD_02492,+
group_6648,MBMJMBDD_03107,+
group_6649,MBMJMBDD_00267,-
