Gene,albidoflavus_SM254,Sign
group_5922,NDLJOBPC_02987,+
group_5923,NDLJOBPC_02189,-
ispG,NDLJOBPC_01398,-
group_5929,NDLJOBPC_05132,+
group_5930,NDLJOBPC_01687,+
group_5931,NDLJOBPC_05669,-
group_5932,NDLJOBPC_01344,-
rbpA_2,NDLJOBPC_05663,-
rpoZ,NDLJOBPC_05614,+
infC,NDLJOBPC_05470,+
prcB,NDLJOBPC_05424,+
prmC_2,NDLJOBPC_01718,-
novJ_2,NDLJOBPC_05733,+
group_5942,NDLJOBPC_02920,-
group_5943,NDLJOBPC_01779,+
rpmB,NDLJOBPC_01487,+
group_5945,NDLJOBPC_01705,-
ilvH,NDLJOBPC_01565,-
artQ_1,NDLJOBPC_01979,+
group_5948,NDLJOBPC_05403,+
group_5949,NDLJOBPC_03028,-
clpP1_2,NDLJOBPC_04534,+
scoF_3,NDLJOBPC_05094,+
group_5952,NDLJOBPC_02578,-
group_5953,NDLJOBPC_01697,-
rpsG,NDLJOBPC_03902,+
group_5955,NDLJOBPC_04978,+
group_5956,NDLJOBPC_02919,-
whiB_2,NDLJOBPC_02168,-
rpsF,NDLJOBPC_03157,-
mraY,NDLJOBPC_05027,+
fadA_4,NDLJOBPC_06208,+
carD,NDLJOBPC_02775,-
mtcA1,NDLJOBPC_05022,-
ectC,NDLJOBPC_05196,-
cobO,NDLJOBPC_05206,-
glnA_1,NDLJOBPC_04866,+
dps_2,NDLJOBPC_02817,-
hisE,NDLJOBPC_05650,+
yceD_3,NDLJOBPC_04765,+
rcp1_2,NDLJOBPC_05955,+
lsr2_2,NDLJOBPC_03652,+
glyQS,NDLJOBPC_04630,+
whmD,NDLJOBPC_00572,-
rsbV_3,NDLJOBPC_02894,-
cseB_1,NDLJOBPC_01768,+
ssuB_2,NDLJOBPC_00944,+
group_5975,NDLJOBPC_00801,+
rpsO,NDLJOBPC_01367,-
group_5977,NDLJOBPC_05250,+
rplC,NDLJOBPC_03910,+
group_5979,NDLJOBPC_01466,-
group_5980,NDLJOBPC_03194,+
nuoA,NDLJOBPC_03804,+
ccpA_4,NDLJOBPC_03504,-
group_5983,NDLJOBPC_05217,+
rpsC,NDLJOBPC_03916,+
fkbP,NDLJOBPC_05430,+
gntR_2,NDLJOBPC_04936,-
group_5987,NDLJOBPC_05361,-
rpmD,NDLJOBPC_03928,+
recR,NDLJOBPC_02955,-
rplM,NDLJOBPC_03941,+
rsbW,NDLJOBPC_01810,+
group_5992,NDLJOBPC_05588,+
group_5993,NDLJOBPC_05263,-
rpsP,NDLJOBPC_01453,-
groS_1,NDLJOBPC_02014,-
group_5996,NDLJOBPC_01452,-
sucC,NDLJOBPC_04058,+
mtrA,NDLJOBPC_02141,-
group_5999,NDLJOBPC_03210,+
group_60,NDLJOBPC_00853,+
ylmA_2,NDLJOBPC_05260,+
walK,NDLJOBPC_05475,+
group_6002,NDLJOBPC_05259,-
group_6003,NDLJOBPC_05833,-
secF,NDLJOBPC_05579,+
group_6005,NDLJOBPC_01046,-
aroB,NDLJOBPC_05598,+
group_6007,NDLJOBPC_01743,-
yccF,NDLJOBPC_03852,+
group_6009,NDLJOBPC_02990,+
ycjP_1,NDLJOBPC_04883,+
group_6011,NDLJOBPC_04385,+
group_6012,NDLJOBPC_00671,+
group_6013,NDLJOBPC_00751,-
purL,NDLJOBPC_03035,-
rplT,NDLJOBPC_05472,+
hisS,NDLJOBPC_05586,+
purQ,NDLJOBPC_03036,-
aviRb_2,NDLJOBPC_05473,+
group_6019,NDLJOBPC_01365,-
group_6020,NDLJOBPC_03699,-
rsfS,NDLJOBPC_04570,+
group_6022,NDLJOBPC_03971,+
kgd,NDLJOBPC_01770,+
recF,NDLJOBPC_03186,+
group_6025,NDLJOBPC_05122,+
group_6026,NDLJOBPC_04295,+
accD5,NDLJOBPC_04219,-
dut,NDLJOBPC_01241,-
pta,NDLJOBPC_01654,+
pdxS,NDLJOBPC_05571,+
sdhB,NDLJOBPC_04129,-
group_6032,NDLJOBPC_02765,-
epi,NDLJOBPC_01685,+
corA_1,NDLJOBPC_01892,+
paaJ_2,NDLJOBPC_02406,+
fusA,NDLJOBPC_03903,+
ilvB1,NDLJOBPC_01566,-
group_6038,NDLJOBPC_01977,-
group_6039,NDLJOBPC_04775,-
dtpT_2,NDLJOBPC_03827,-
nqo4,NDLJOBPC_03639,+
group_6042,NDLJOBPC_01698,-
rdlB_2,NDLJOBPC_02415,+
tuf_1,NDLJOBPC_03904,+
group_6045,NDLJOBPC_00949,-
gltC_2,NDLJOBPC_04503,+
group_6047,NDLJOBPC_02474,+
group_6048,NDLJOBPC_01240,-
gltR,NDLJOBPC_03143,+
group_6050,NDLJOBPC_01660,-
group_6051,NDLJOBPC_05256,+
dcd,NDLJOBPC_03313,-
cysG_2,NDLJOBPC_05536,+
group_6054,NDLJOBPC_05018,+
group_6055,NDLJOBPC_03136,+
lysA_1,NDLJOBPC_01726,-
sepF_2,NDLJOBPC_05035,+
potB,NDLJOBPC_01411,-
group_6059,NDLJOBPC_03784,+
lacC_1,NDLJOBPC_00295,+
degU_2,NDLJOBPC_02136,-
group_6061,NDLJOBPC_02458,-
atpA,NDLJOBPC_01709,-
prfA,NDLJOBPC_01719,-
xylE,NDLJOBPC_01464,-
fgd_2,NDLJOBPC_01047,+
cysG_1,NDLJOBPC_03704,+
group_6067,NDLJOBPC_01888,-
group_6068,NDLJOBPC_05794,-
group_6069,NDLJOBPC_05214,+
group_607,NDLJOBPC_00299,-
ispH2,NDLJOBPC_04346,+
bkdB_1,NDLJOBPC_03234,+
gntT_1,NDLJOBPC_05386,-
group_6073,NDLJOBPC_00509,-
sigD,NDLJOBPC_01439,-
COQ5_5,NDLJOBPC_04799,+
ybiT_1,NDLJOBPC_00727,-
yceD_1,NDLJOBPC_02650,+
yfmJ_3,NDLJOBPC_04714,+
group_6079,NDLJOBPC_01966,+
abaF_1,NDLJOBPC_00312,+
guaA,NDLJOBPC_04003,+
rhmR,NDLJOBPC_01501,+
btuD_1,NDLJOBPC_00529,-
paaG,NDLJOBPC_01907,+
ipuC,NDLJOBPC_05460,+
group_6085,NDLJOBPC_02321,+
tkt,NDLJOBPC_05165,-
putC,NDLJOBPC_01556,-
group_6088,NDLJOBPC_00349,-
group_6089,NDLJOBPC_03736,+
rppH_1,NDLJOBPC_00315,-
ald,NDLJOBPC_05288,+
rpoC,NDLJOBPC_03894,+
tgnC,NDLJOBPC_04201,-
truB,NDLJOBPC_01379,-
ycbX,NDLJOBPC_00322,+
ctaB,NDLJOBPC_05166,+
glnB_2,NDLJOBPC_04895,-
icd,NDLJOBPC_05492,+
group_6107,NDLJOBPC_00922,-
yceD_2,NDLJOBPC_03012,-
lpdA,NDLJOBPC_04209,+
alkB,NDLJOBPC_00331,-
mamB,NDLJOBPC_02155,-
fadM,NDLJOBPC_01557,-
amtB,NDLJOBPC_01460,-
ybeY,NDLJOBPC_04614,+
rpoB,NDLJOBPC_03893,+
pheA,NDLJOBPC_03115,+
group_6116,NDLJOBPC_01234,-
group_6117,NDLJOBPC_01740,+
group_6118,NDLJOBPC_04409,-
group_6119,NDLJOBPC_01591,+
liaR_1,NDLJOBPC_00335,+
dnaJ2,NDLJOBPC_04594,+
aceE_2,NDLJOBPC_04762,-
poxB,NDLJOBPC_00894,-
sorC,NDLJOBPC_05628,+
atpB,NDLJOBPC_01713,-
thrB,NDLJOBPC_01723,-
yceC_1,NDLJOBPC_01167,-
glnA_2,NDLJOBPC_04920,-
ddmA1,NDLJOBPC_04689,-
ngcF,NDLJOBPC_01001,-
group_613,NDLJOBPC_00356,+
group_6130,NDLJOBPC_04298,+
uox,NDLJOBPC_00859,-
fadJ_3,NDLJOBPC_00990,+
rpe,NDLJOBPC_05627,+
argH,NDLJOBPC_05517,+
group_6135,NDLJOBPC_02085,-
pknD_2,NDLJOBPC_02258,-
ilvD,NDLJOBPC_03675,+
cmk,NDLJOBPC_05299,+
group_6139,NDLJOBPC_05976,+
group_614,NDLJOBPC_00362,-
group_6140,NDLJOBPC_01785,-
COQ2,NDLJOBPC_03739,+
mshA_2,NDLJOBPC_03554,+
group_6143,NDLJOBPC_00641,-
whiA,NDLJOBPC_05154,+
ubiX,NDLJOBPC_03740,+
group_6146,NDLJOBPC_01752,-
group_6147,NDLJOBPC_05443,+
group_6148,NDLJOBPC_04223,+
sepF_3,NDLJOBPC_05312,-
namA,NDLJOBPC_00366,+
group_6150,NDLJOBPC_05526,-
group_6151,NDLJOBPC_04468,+
group_6152,NDLJOBPC_06265,+
dasA_1,NDLJOBPC_01820,-
sigF_2,NDLJOBPC_01811,+
mcm,NDLJOBPC_01663,-
group_6156,NDLJOBPC_05262,+
oppA_2,NDLJOBPC_01948,-
group_6158,NDLJOBPC_02647,-
map-1_2,NDLJOBPC_03932,+
murK_1,NDLJOBPC_00370,+
group_6160,NDLJOBPC_01174,-
sdaA,NDLJOBPC_01607,+
whiD,NDLJOBPC_03985,-
group_6163,NDLJOBPC_01684,-
ispD,NDLJOBPC_02774,-
group_6167,NDLJOBPC_03727,-
rsmD,NDLJOBPC_01484,-
group_6169,NDLJOBPC_05624,+
group_617,NDLJOBPC_00373,+
group_6170,NDLJOBPC_01843,-
tesB_2,NDLJOBPC_04412,+
glmM,NDLJOBPC_03943,+
group_6173,NDLJOBPC_04101,+
glyA2,NDLJOBPC_01606,+
purK,NDLJOBPC_02207,-
group_6176,NDLJOBPC_00615,-
proC_2,NDLJOBPC_03683,+
rimO,NDLJOBPC_01347,-
group_6179,NDLJOBPC_02260,-
gadA_1,NDLJOBPC_00376,+
group_6180,NDLJOBPC_01461,-
ychF,NDLJOBPC_04349,+
frcA,NDLJOBPC_00997,-
group_6183,NDLJOBPC_02115,+
lldR_1,NDLJOBPC_05246,-
coaA,NDLJOBPC_03944,-
group_6186,NDLJOBPC_00561,+
ahpD,NDLJOBPC_04321,+
nrdB,NDLJOBPC_01825,+
group_6189,NDLJOBPC_01423,+
aspC1,NDLJOBPC_03884,-
legI,NDLJOBPC_04157,+
group_6192,NDLJOBPC_05762,+
group_6193,NDLJOBPC_01462,+
group_6194,NDLJOBPC_01674,+
ribBA,NDLJOBPC_05648,+
group_6196,NDLJOBPC_00599,+
acrC_2,NDLJOBPC_04411,+
disA,NDLJOBPC_03664,-
lon_1,NDLJOBPC_01758,-
copA,NDLJOBPC_01112,-
recO,NDLJOBPC_04624,+
citT_1,NDLJOBPC_04691,+
group_6202,NDLJOBPC_00954,+
metG,NDLJOBPC_03291,+
group_6204,NDLJOBPC_04801,-
sglT,NDLJOBPC_02326,+
tyrS,NDLJOBPC_05242,-
group_6207,NDLJOBPC_00577,-
tesB_1,NDLJOBPC_00436,+
murAA_2,NDLJOBPC_02083,+
group_6210,NDLJOBPC_01812,-
rplL,NDLJOBPC_03892,+
yegS,NDLJOBPC_01813,+
glkA_1,NDLJOBPC_00817,-
group_6214,NDLJOBPC_00435,+
tdcB_2,NDLJOBPC_04236,+
yhdG_2,NDLJOBPC_01038,-
ahcY,NDLJOBPC_02154,-
frdA,NDLJOBPC_05998,+
glpQ_1,NDLJOBPC_00351,+
group_622,NDLJOBPC_00464,+
vraR_2,NDLJOBPC_04733,-
pdtaS,NDLJOBPC_01815,-
group_6222,NDLJOBPC_01254,+
group_6223,NDLJOBPC_04262,-
group_6224,NDLJOBPC_02303,-
ubiD,NDLJOBPC_03738,+
group_6226,NDLJOBPC_04390,-
ypdB,NDLJOBPC_05981,+
tal_2,NDLJOBPC_05164,-
cobIJ,NDLJOBPC_04907,+
group_623,NDLJOBPC_00412,+
group_6230,NDLJOBPC_00811,+
group_6231,NDLJOBPC_01995,-
group_6232,NDLJOBPC_04208,-
glpR,NDLJOBPC_01187,+
yfiZ_1,NDLJOBPC_00714,+
kgtP_2,NDLJOBPC_01615,+
clpP1_1,NDLJOBPC_00490,-
paaJ_1,NDLJOBPC_00989,+
nagC_1,NDLJOBPC_00999,-
gatY,NDLJOBPC_02645,+
group_624,NDLJOBPC_00421,-
argG,NDLJOBPC_01761,-
mnmA,NDLJOBPC_01590,-
hisG,NDLJOBPC_05651,+
group_6245,NDLJOBPC_00810,+
group_6246,NDLJOBPC_03698,-
group_6247,NDLJOBPC_03275,+
group_6248,NDLJOBPC_04529,-
group_6249,NDLJOBPC_04615,+
ssuB_1,NDLJOBPC_00423,+
murT,NDLJOBPC_05836,-
rnc,NDLJOBPC_01479,-
group_6252,NDLJOBPC_01787,+
ideR,NDLJOBPC_02499,-
secA,NDLJOBPC_02133,-
ptsI_2,NDLJOBPC_05690,-
group_6256,NDLJOBPC_00347,+
thlA_2,NDLJOBPC_02234,+
group_6258,NDLJOBPC_04269,-
grpE,NDLJOBPC_03353,+
ssuA,NDLJOBPC_00424,+
dasC_3,NDLJOBPC_01818,-
group_6261,NDLJOBPC_05289,+
gap2_3,NDLJOBPC_05155,+
group_6263,NDLJOBPC_02251,-
group_6264,NDLJOBPC_03141,+
eno_1,NDLJOBPC_02252,-
czcO,NDLJOBPC_00426,+
fepD_2,NDLJOBPC_01076,-
pfkA2_2,NDLJOBPC_05834,-
dnaK,NDLJOBPC_03352,+
hemL,NDLJOBPC_03729,+
ohrB,NDLJOBPC_04715,+
fhaB,NDLJOBPC_03219,-
group_6277,NDLJOBPC_03103,+
leuC,NDLJOBPC_01500,-
pbuG,NDLJOBPC_00881,-
group_628,NDLJOBPC_00437,+
group_6280,NDLJOBPC_05533,+
korA,NDLJOBPC_03837,-
sepF_1,NDLJOBPC_01051,-
group_6283,NDLJOBPC_01846,+
atpG,NDLJOBPC_01708,-
group_6285,NDLJOBPC_04300,+
group_6286,NDLJOBPC_05732,+
pstP,NDLJOBPC_03218,-
coaD,NDLJOBPC_01483,-
ppgK,NDLJOBPC_04347,+
group_629,NDLJOBPC_00438,-
group_6290,NDLJOBPC_03510,+
lutB,NDLJOBPC_01057,-
korB,NDLJOBPC_03836,-
gpmA_1,NDLJOBPC_01291,-
liaR_8,NDLJOBPC_05257,+
ylbL,NDLJOBPC_01847,-
group_6296,NDLJOBPC_03160,+
group_6297,NDLJOBPC_03627,+
etfA,NDLJOBPC_00343,-
group_6299,NDLJOBPC_04926,+
group_630,NDLJOBPC_00440,+
group_6300,NDLJOBPC_02165,+
aceE_3,NDLJOBPC_04935,-
gpgP,NDLJOBPC_04571,+
clpS,NDLJOBPC_02036,-
group_6304,NDLJOBPC_04500,+
group_6305,NDLJOBPC_01664,-
group_6306,NDLJOBPC_02760,+
aroC,NDLJOBPC_05596,+
pnp_1,NDLJOBPC_01366,-
trpB,NDLJOBPC_05079,+
COQ5_1,NDLJOBPC_00442,+
hrcA,NDLJOBPC_04593,+
group_6311,NDLJOBPC_01251,+
group_6312,NDLJOBPC_05419,+
group_6313,NDLJOBPC_00652,-
csd_3,NDLJOBPC_05177,+
proB,NDLJOBPC_04559,+
pdtaR,NDLJOBPC_05107,+
hutH,NDLJOBPC_04224,+
der,NDLJOBPC_05301,+
fadF,NDLJOBPC_03307,+
group_632,NDLJOBPC_00446,-
relA,NDLJOBPC_05581,+
paaF,NDLJOBPC_04222,+
group_6322,NDLJOBPC_02490,-
glmS_3,NDLJOBPC_04386,-
dapE_3,NDLJOBPC_01916,-
phoU2,NDLJOBPC_02779,+
group_6326,NDLJOBPC_05021,-
group_6327,NDLJOBPC_01511,-
xylA,NDLJOBPC_00452,-
group_6329,NDLJOBPC_01896,+
group_633,NDLJOBPC_00449,+
lpdC,NDLJOBPC_00903,+
adhC2,NDLJOBPC_04229,+
group_6332,NDLJOBPC_04792,-
rnhB,NDLJOBPC_01288,-
group_6334,NDLJOBPC_03163,+
caiD_3,NDLJOBPC_05218,+
ngcE,NDLJOBPC_01002,-
group_6337,NDLJOBPC_05251,-
sigF_3,NDLJOBPC_03078,+
rpsA,NDLJOBPC_05120,+
group_634,NDLJOBPC_00451,-
group_6340,NDLJOBPC_04922,-
group_6341,NDLJOBPC_01897,+
group_6342,NDLJOBPC_03785,+
dop,NDLJOBPC_05422,+
deoC,NDLJOBPC_04203,-
group_6345,NDLJOBPC_04985,-
kdpE_1,NDLJOBPC_01235,-
lvr_2,NDLJOBPC_05462,+
group_6348,NDLJOBPC_05670,+
group_6349,NDLJOBPC_04994,+
yfmJ_1,NDLJOBPC_00458,-
group_6350,NDLJOBPC_00753,-
gpt,NDLJOBPC_03312,-
rplS,NDLJOBPC_01449,-
obg,NDLJOBPC_04555,+
pheP,NDLJOBPC_02033,-
dnaE2,NDLJOBPC_05327,+
group_6356,NDLJOBPC_05664,-
group_6357,NDLJOBPC_04979,+
group_6358,NDLJOBPC_06279,+
group_636,NDLJOBPC_00459,-
group_6361,NDLJOBPC_04855,+
group_637,NDLJOBPC_00485,-
gltB,NDLJOBPC_05091,+
group_6371,NDLJOBPC_02562,-
crp_2,NDLJOBPC_03900,-
dmdB,NDLJOBPC_03096,-
yhdG_4,NDLJOBPC_05458,-
group_6375,NDLJOBPC_03046,-
group_6376,NDLJOBPC_04993,-
trmI,NDLJOBPC_05418,+
glnQ_2,NDLJOBPC_01318,+
rex,NDLJOBPC_03701,+
group_638,NDLJOBPC_00488,+
trpC,NDLJOBPC_05078,+
group_6381,NDLJOBPC_06217,-
gltC_4,NDLJOBPC_05996,-
ectB_2,NDLJOBPC_05197,-
dapL,NDLJOBPC_01920,-
orn,NDLJOBPC_04382,-
pyrF,NDLJOBPC_05611,+
purD_1,NDLJOBPC_03048,-
group_639,NDLJOBPC_00512,-
bphA3,NDLJOBPC_05175,+
rbsC_1,NDLJOBPC_00650,-
serA,NDLJOBPC_01563,-
group_6396,NDLJOBPC_04937,-
guaB1,NDLJOBPC_05633,+
group_6398,NDLJOBPC_01717,-
atpD,NDLJOBPC_01707,-
ctpA_2,NDLJOBPC_04429,-
group_640,NDLJOBPC_00528,-
nuoN,NDLJOBPC_03817,+
group_6401,NDLJOBPC_02549,-
fba,NDLJOBPC_03373,+
group_6403,NDLJOBPC_02076,-
group_6404,NDLJOBPC_02905,+
maiA_1,NDLJOBPC_01973,-
group_6406,NDLJOBPC_06093,-
mcd,NDLJOBPC_00723,+
atpC,NDLJOBPC_01706,-
nuoM,NDLJOBPC_03816,+
group_6410,NDLJOBPC_01716,-
gatA,NDLJOBPC_01581,-
dapE_4,NDLJOBPC_05392,+
dapA,NDLJOBPC_01359,-
pal,NDLJOBPC_04305,+
group_6415,NDLJOBPC_03376,+
nucS,NDLJOBPC_01695,+
gyrBR,NDLJOBPC_03188,+
fadA_1,NDLJOBPC_00556,-
btuD_8,NDLJOBPC_01944,-
group_642,NDLJOBPC_00530,-
group_6420,NDLJOBPC_03656,+
pyk_1,NDLJOBPC_01656,+
radA_1,NDLJOBPC_03152,-
acuC,NDLJOBPC_03690,+
group_6424,NDLJOBPC_05253,-
ydjF,NDLJOBPC_04948,+
group_6426,NDLJOBPC_03133,+
dppB_1,NDLJOBPC_01372,+
group_6428,NDLJOBPC_03264,-
gyrA_2,NDLJOBPC_03189,+
dpgD,NDLJOBPC_00540,+
spoIIAB,NDLJOBPC_02893,-
group_6431,NDLJOBPC_04131,-
group_6432,NDLJOBPC_02585,+
aroH,NDLJOBPC_04999,+
davT,NDLJOBPC_02960,-
alaS_2,NDLJOBPC_05592,+
pyk_2,NDLJOBPC_05104,+
entH,NDLJOBPC_05114,-
group_6438,NDLJOBPC_03787,+
iolS_1,NDLJOBPC_01569,+
group_644,NDLJOBPC_00541,+
ndhC_2,NDLJOBPC_03841,+
group_6441,NDLJOBPC_02630,-
group_6442,NDLJOBPC_01859,-
group_6443,NDLJOBPC_01854,-
glpD2_1,NDLJOBPC_03991,+
dppA_1,NDLJOBPC_00702,-
osmC,NDLJOBPC_00674,-
tolB,NDLJOBPC_02947,+
rsgA_2,NDLJOBPC_01836,+
mrp,NDLJOBPC_01898,+
ade_1,NDLJOBPC_00547,+
group_6450,NDLJOBPC_00533,-
folP2,NDLJOBPC_01911,+
group_6452,NDLJOBPC_03175,-
glgX_1,NDLJOBPC_00957,+
group_6454,NDLJOBPC_02093,-
hrdB_1,NDLJOBPC_01280,-
nuoH_3,NDLJOBPC_03844,+
group_6457,NDLJOBPC_02767,-
group_6458,NDLJOBPC_04931,-
group_6459,NDLJOBPC_03421,+
ccrA2,NDLJOBPC_00719,+
acm_1,NDLJOBPC_00465,+
group_6462,NDLJOBPC_02790,-
group_6463,NDLJOBPC_05071,-
fadB2,NDLJOBPC_05482,-
sodN,NDLJOBPC_01792,+
mqnE,NDLJOBPC_03743,+
copR_2,NDLJOBPC_04973,-
group_6468,NDLJOBPC_03118,-
asd_1,NDLJOBPC_02951,-
group_647,NDLJOBPC_00592,-
group_6470,NDLJOBPC_05682,+
fgd_5,NDLJOBPC_03724,+
group_6472,NDLJOBPC_05293,+
codAch2,NDLJOBPC_03875,-
nadD,NDLJOBPC_04568,+
hisD,NDLJOBPC_05062,+
group_6476,NDLJOBPC_03358,+
appC,NDLJOBPC_03130,-
whiB_3,NDLJOBPC_02923,-
group_6479,NDLJOBPC_02247,+
group_648,NDLJOBPC_00596,+
zwf2,NDLJOBPC_05163,-
pyrG,NDLJOBPC_05285,+
clpP2_2,NDLJOBPC_04535,+
group_6483,NDLJOBPC_05936,+
exuR,NDLJOBPC_03132,+
fumA,NDLJOBPC_04334,-
proS,NDLJOBPC_01389,-
nudL,NDLJOBPC_02914,-
shbA,NDLJOBPC_03987,+
pckG,NDLJOBPC_04261,+
group_649,NDLJOBPC_00597,-
group_6490,NDLJOBPC_04543,+
rsbV_2,NDLJOBPC_02483,-
yabJ,NDLJOBPC_04272,+
fepC_5,NDLJOBPC_03336,+
gbpA_1,NDLJOBPC_01987,-
fadD3,NDLJOBPC_00869,-
menJ,NDLJOBPC_03799,+
group_6497,NDLJOBPC_03111,+
sugA,NDLJOBPC_01189,+
asnC_2,NDLJOBPC_02047,+
group_65,NDLJOBPC_01378,-
griR_1,NDLJOBPC_00598,-
group_6500,NDLJOBPC_03938,+
group_6501,NDLJOBPC_02580,-
group_6502,NDLJOBPC_01106,-
pyrH,NDLJOBPC_01434,-
ahpE,NDLJOBPC_04764,+
gtaB,NDLJOBPC_02377,-
group_6506,NDLJOBPC_00371,+
mglA_1,NDLJOBPC_00629,-
rsrA,NDLJOBPC_01830,-
group_6509,NDLJOBPC_01602,-
group_651,NDLJOBPC_00600,+
pbsA1,NDLJOBPC_04852,-
kstR2,NDLJOBPC_05373,+
smpB,NDLJOBPC_02098,-
ribM,NDLJOBPC_05647,+
group_6514,NDLJOBPC_04781,-
group_6515,NDLJOBPC_04602,+
lon_2,NDLJOBPC_05059,-
group_6517,NDLJOBPC_04441,+
mctC_2,NDLJOBPC_05234,+
yfcA,NDLJOBPC_04661,+
slyA,NDLJOBPC_00607,+
sigE_4,NDLJOBPC_03660,-
fabH_1,NDLJOBPC_00653,-
fbiD_2,NDLJOBPC_02675,-
artM,NDLJOBPC_01788,+
nuoF,NDLJOBPC_03809,+
argJ,NDLJOBPC_05507,+
ppdK,NDLJOBPC_04660,+
gbsA,NDLJOBPC_04079,+
group_6528,NDLJOBPC_05042,+
gsiD_5,NDLJOBPC_01941,-
pobB,NDLJOBPC_00611,-
group_6530,NDLJOBPC_05185,-
group_6531,NDLJOBPC_01829,-
macB_1,NDLJOBPC_02243,+
cugP_2,NDLJOBPC_05696,+
yceC_2,NDLJOBPC_05142,+
rpsM,NDLJOBPC_03935,+
czcD,NDLJOBPC_00536,+
yidA_1,NDLJOBPC_03117,+
group_6538,NDLJOBPC_02443,-
ettA_2,NDLJOBPC_02332,-
nadX,NDLJOBPC_00617,-
punA,NDLJOBPC_04207,-
regX3_2,NDLJOBPC_02210,-
rplK,NDLJOBPC_03888,+
rplA,NDLJOBPC_03889,+
mdh,NDLJOBPC_04073,+
group_6545,NDLJOBPC_04326,-
groL2,NDLJOBPC_02627,-
ctaD_2,NDLJOBPC_01069,+
rplJ,NDLJOBPC_03891,+
ffh,NDLJOBPC_01457,-
adoK,NDLJOBPC_04958,+
ftsH_3,NDLJOBPC_03602,+
iclR_1,NDLJOBPC_00830,+
guaB,NDLJOBPC_03988,+
add2,NDLJOBPC_01417,+
gcvT_2,NDLJOBPC_03520,+
murG,NDLJOBPC_05030,+
group_6557,NDLJOBPC_03989,+
def_1,NDLJOBPC_01828,-
gpsA,NDLJOBPC_01493,-
betB,NDLJOBPC_00619,-
wbpA,NDLJOBPC_03990,-
qcrB,NDLJOBPC_04968,+
group_6562,NDLJOBPC_04604,+
acdA_4,NDLJOBPC_05839,+
hspR,NDLJOBPC_03355,+
mutT2,NDLJOBPC_01955,-
group_6566,NDLJOBPC_05129,-
group_6567,NDLJOBPC_04113,-
ftsZ,NDLJOBPC_05032,+
nusG,NDLJOBPC_03887,+
group_657,NDLJOBPC_00624,+
htpX_4,NDLJOBPC_05945,-
glpX,NDLJOBPC_04340,-
group_6572,NDLJOBPC_01188,+
group_6573,NDLJOBPC_02120,-
trxB,NDLJOBPC_03173,+
glnM_1,NDLJOBPC_00762,-
group_6576,NDLJOBPC_00808,+
gabD1_2,NDLJOBPC_04900,-
murAA_1,NDLJOBPC_01014,+
group_6579,NDLJOBPC_03101,-
group_658,NDLJOBPC_00642,-
kdsB,NDLJOBPC_04156,+
fadJ_1,NDLJOBPC_00555,-
group_6582,NDLJOBPC_02157,-
aspS,NDLJOBPC_03269,+
group_6584,NDLJOBPC_01391,-
rip1,NDLJOBPC_01399,-
dppB_3,NDLJOBPC_01942,-
dppB_2,NDLJOBPC_01599,-
hisF,NDLJOBPC_05069,+
lepA,NDLJOBPC_04587,+
group_659,NDLJOBPC_00646,-
oppD_5,NDLJOBPC_01945,-
dxs,NDLJOBPC_00995,-
hemE,NDLJOBPC_00985,-
greA,NDLJOBPC_04239,-
dasA_2,NDLJOBPC_02080,-
murF_2,NDLJOBPC_05026,+
moeZ,NDLJOBPC_01872,-
group_6597,NDLJOBPC_00820,-
leuE,NDLJOBPC_04153,+
plsC_2,NDLJOBPC_05522,-
iolG_1,NDLJOBPC_00647,-
sigR,NDLJOBPC_01831,-
gyrA_1,NDLJOBPC_01265,+
group_6602,NDLJOBPC_00996,-
nuoH_2,NDLJOBPC_03811,+
yieH_2,NDLJOBPC_04917,-
group_6605,NDLJOBPC_03084,+
tal_1,NDLJOBPC_01874,-
group_6607,NDLJOBPC_05152,+
maiA_2,NDLJOBPC_01974,-
ctaD_3,NDLJOBPC_04961,+
group_6610,NDLJOBPC_05173,+
egtC,NDLJOBPC_06005,-
group_6612,NDLJOBPC_02913,-
group_6613,NDLJOBPC_02433,-
mrdA_3,NDLJOBPC_04545,+
group_6615,NDLJOBPC_02879,-
sucD_2,NDLJOBPC_04059,+
group_6617,NDLJOBPC_03662,-
acdS,NDLJOBPC_04603,+
mmcR,NDLJOBPC_00675,+
tig,NDLJOBPC_04533,+
codA,NDLJOBPC_04080,+
rutD_1,NDLJOBPC_00771,-
group_663,NDLJOBPC_00680,-
group_6630,NDLJOBPC_05680,+
snpA,NDLJOBPC_04114,+
group_6632,NDLJOBPC_03016,-
ppc,NDLJOBPC_02316,-
gabT,NDLJOBPC_01405,+
opuCB,NDLJOBPC_02048,+
lppS,NDLJOBPC_04963,+
drrA_7,NDLJOBPC_05171,-
recA,NDLJOBPC_01326,-
dinG_4,NDLJOBPC_05227,-
nap,NDLJOBPC_00689,-
nagE2,NDLJOBPC_02027,+
lnrL_4,NDLJOBPC_03119,-
group_6642,NDLJOBPC_03422,+
pstB1,NDLJOBPC_03423,-
group_6644,NDLJOBPC_06160,+
group_6645,NDLJOBPC_05795,-
sdhA,NDLJOBPC_04130,-
group_6647,NDLJOBPC_02720,+
group_6648,NDLJOBPC_03238,+
group_6649,NDLJOBPC_00525,-
qorB_1,NDLJOBPC_00730,-
