Gene,albidoflavus_J1074,Sign
group_5922,CDKDDEHB_02797,+
group_5923,CDKDDEHB_01943,-
ispG,CDKDDEHB_01162,-
group_5929,CDKDDEHB_04898,+
group_5930,CDKDDEHB_01442,+
group_5931,CDKDDEHB_05434,-
group_5932,CDKDDEHB_01109,-
rbpA_2,CDKDDEHB_05428,-
rpoZ,CDKDDEHB_05378,+
infC,CDKDDEHB_05234,+
prcB,CDKDDEHB_05188,+
prmC_2,CDKDDEHB_01473,-
novJ_2,CDKDDEHB_05497,+
group_5942,CDKDDEHB_02732,-
group_5943,CDKDDEHB_01534,+
rpmB,CDKDDEHB_01242,+
group_5945,CDKDDEHB_01460,-
ilvH,CDKDDEHB_01320,-
artQ_1,CDKDDEHB_01733,+
group_5948,CDKDDEHB_05167,+
group_5949,CDKDDEHB_02839,-
clpP1_2,CDKDDEHB_04326,+
scoF_3,CDKDDEHB_04858,+
group_5952,CDKDDEHB_02344,-
group_5953,CDKDDEHB_01452,-
rpsG,CDKDDEHB_03720,+
group_5955,CDKDDEHB_04744,+
group_5956,CDKDDEHB_02731,-
whiB_2,CDKDDEHB_01923,-
rpsF,CDKDDEHB_02980,-
mraY,CDKDDEHB_04794,+
fadA_4,CDKDDEHB_05866,+
carD,CDKDDEHB_02569,-
mtcA1,CDKDDEHB_04788,-
ectC,CDKDDEHB_04962,-
cobO,CDKDDEHB_04972,-
glnA_1,CDKDDEHB_04633,+
dps_2,CDKDDEHB_02611,-
hisE,CDKDDEHB_05415,+
yceD_3,CDKDDEHB_04532,+
rcp1_2,CDKDDEHB_05626,+
lsr2_2,CDKDDEHB_03482,+
glyQS,CDKDDEHB_04421,+
whmD,CDKDDEHB_00314,-
rsbV_3,CDKDDEHB_02706,-
cseB_1,CDKDDEHB_01523,+
ssuB_2,CDKDDEHB_00718,+
group_5975,CDKDDEHB_00535,+
rpsO,CDKDDEHB_01132,-
group_5977,CDKDDEHB_05017,+
rplC,CDKDDEHB_03728,+
group_5979,CDKDDEHB_01230,-
group_5980,CDKDDEHB_03017,+
nuoA,CDKDDEHB_03629,+
ccpA_4,CDKDDEHB_03324,-
group_5983,CDKDDEHB_04984,+
rpsC,CDKDDEHB_03734,+
fkbP,CDKDDEHB_05194,+
gntR_2,CDKDDEHB_04702,-
group_5987,CDKDDEHB_05125,-
rpmD,CDKDDEHB_03746,+
recR,CDKDDEHB_02762,-
rplM,CDKDDEHB_03759,+
rsbW,CDKDDEHB_01564,+
group_5992,CDKDDEHB_05352,+
group_5993,CDKDDEHB_05030,-
rpsP,CDKDDEHB_01217,-
groS_1,CDKDDEHB_01773,-
group_5996,CDKDDEHB_01216,-
sucC,CDKDDEHB_03863,+
mtrA,CDKDDEHB_01897,-
group_5999,CDKDDEHB_03033,+
group_60,CDKDDEHB_00629,+
ylmA_2,CDKDDEHB_05027,+
walK,CDKDDEHB_05239,+
group_6002,CDKDDEHB_05026,-
group_6003,CDKDDEHB_05598,-
secF,CDKDDEHB_05343,+
group_6005,CDKDDEHB_00824,-
aroB,CDKDDEHB_05362,+
group_6007,CDKDDEHB_01498,-
yccF,CDKDDEHB_03687,+
group_6009,CDKDDEHB_02800,+
ycjP_1,CDKDDEHB_04648,+
group_6011,CDKDDEHB_04183,+
group_6012,CDKDDEHB_00412,+
group_6013,CDKDDEHB_00485,-
purL,CDKDDEHB_02846,-
rplT,CDKDDEHB_05236,+
hisS,CDKDDEHB_05350,+
purQ,CDKDDEHB_02847,-
aviRb_2,CDKDDEHB_05237,+
group_6019,CDKDDEHB_01130,-
group_6020,CDKDDEHB_03529,-
rsfS,CDKDDEHB_04360,+
group_6022,CDKDDEHB_03788,+
kgd,CDKDDEHB_01525,+
recF,CDKDDEHB_03009,+
group_6025,CDKDDEHB_04887,+
group_6026,CDKDDEHB_04095,+
accD5,CDKDDEHB_04024,-
dut,CDKDDEHB_01005,-
pta,CDKDDEHB_01409,+
pdxS,CDKDDEHB_05335,+
sdhB,CDKDDEHB_03932,-
group_6032,CDKDDEHB_02559,-
epi,CDKDDEHB_01440,+
corA_1,CDKDDEHB_01647,+
paaJ_2,CDKDDEHB_02162,+
fusA,CDKDDEHB_03721,+
ilvB1,CDKDDEHB_01321,-
group_6038,CDKDDEHB_01731,-
group_6039,CDKDDEHB_04542,-
dtpT_2,CDKDDEHB_03652,-
nqo4,CDKDDEHB_03469,+
group_6042,CDKDDEHB_01453,-
rdlB_2,CDKDDEHB_02171,+
tuf_1,CDKDDEHB_03722,+
group_6045,CDKDDEHB_00723,-
gltC_2,CDKDDEHB_04297,+
group_6047,CDKDDEHB_02239,+
group_6048,CDKDDEHB_01004,-
gltR,CDKDDEHB_02950,+
group_6050,CDKDDEHB_01415,-
group_6051,CDKDDEHB_05023,+
dcd,CDKDDEHB_03131,-
cysG_2,CDKDDEHB_05300,+
group_6054,CDKDDEHB_04784,+
group_6055,CDKDDEHB_02943,+
lysA_1,CDKDDEHB_01481,-
sepF_2,CDKDDEHB_04802,+
potB,CDKDDEHB_01175,-
group_6059,CDKDDEHB_03610,+
lacC_1,CDKDDEHB_00027,+
degU_2,CDKDDEHB_01892,-
group_6061,CDKDDEHB_02225,-
atpA,CDKDDEHB_01464,-
prfA,CDKDDEHB_01474,-
xylE,CDKDDEHB_01228,-
fgd_2,CDKDDEHB_00825,+
cysG_1,CDKDDEHB_03534,+
group_6067,CDKDDEHB_01643,-
group_6068,CDKDDEHB_05559,-
group_6069,CDKDDEHB_04981,+
group_607,CDKDDEHB_00032,-
ispH2,CDKDDEHB_04145,+
bkdB_1,CDKDDEHB_03056,+
gntT_1,CDKDDEHB_05150,-
group_6073,CDKDDEHB_00250,-
sigD,CDKDDEHB_01203,-
COQ5_5,CDKDDEHB_04566,+
ybiT_1,CDKDDEHB_00461,-
yceD_1,CDKDDEHB_02418,+
yfmJ_3,CDKDDEHB_04505,+
group_6079,CDKDDEHB_01720,+
abaF_1,CDKDDEHB_00053,+
guaA,CDKDDEHB_03820,+
rhmR,CDKDDEHB_01256,+
btuD_1,CDKDDEHB_00271,-
paaG,CDKDDEHB_01661,+
ipuC,CDKDDEHB_05224,+
group_6085,CDKDDEHB_02076,+
tkt,CDKDDEHB_04931,-
putC,CDKDDEHB_01311,-
group_6088,CDKDDEHB_00090,-
group_6089,CDKDDEHB_03563,+
rppH_1,CDKDDEHB_00056,-
ald,CDKDDEHB_05055,+
rpoC,CDKDDEHB_03712,+
tgnC,CDKDDEHB_04006,-
truB,CDKDDEHB_01143,-
ycbX,CDKDDEHB_00063,+
ctaB,CDKDDEHB_04932,+
glnB_2,CDKDDEHB_04660,-
icd,CDKDDEHB_05256,+
group_6107,CDKDDEHB_00695,-
yceD_2,CDKDDEHB_02822,-
lpdA,CDKDDEHB_04014,+
alkB,CDKDDEHB_00072,-
mamB,CDKDDEHB_01911,-
fadM,CDKDDEHB_01312,-
amtB,CDKDDEHB_01224,-
ybeY,CDKDDEHB_04405,+
rpoB,CDKDDEHB_03711,+
pheA,CDKDDEHB_02922,+
group_6116,CDKDDEHB_00998,-
group_6117,CDKDDEHB_01495,+
group_6118,CDKDDEHB_04213,-
group_6119,CDKDDEHB_01346,+
liaR_1,CDKDDEHB_00076,+
dnaJ2,CDKDDEHB_04385,+
aceE_2,CDKDDEHB_04529,-
poxB,CDKDDEHB_00668,-
sorC,CDKDDEHB_05392,+
atpB,CDKDDEHB_01468,-
thrB,CDKDDEHB_01478,-
yceC_1,CDKDDEHB_00953,-
glnA_2,CDKDDEHB_04686,-
ddmA1,CDKDDEHB_04480,-
ngcF,CDKDDEHB_00777,-
group_613,CDKDDEHB_00097,+
group_6130,CDKDDEHB_04098,+
uox,CDKDDEHB_00633,-
fadJ_3,CDKDDEHB_00766,+
rpe,CDKDDEHB_05391,+
argH,CDKDDEHB_05281,+
group_6135,CDKDDEHB_01846,-
pknD_2,CDKDDEHB_02013,-
ilvD,CDKDDEHB_03505,+
cmk,CDKDDEHB_05066,+
group_6139,CDKDDEHB_05647,+
group_614,CDKDDEHB_00103,-
group_6140,CDKDDEHB_01540,-
COQ2,CDKDDEHB_03566,+
mshA_2,CDKDDEHB_03383,+
group_6143,CDKDDEHB_00382,-
whiA,CDKDDEHB_04920,+
ubiX,CDKDDEHB_03567,+
group_6146,CDKDDEHB_01507,-
group_6147,CDKDDEHB_05207,+
group_6148,CDKDDEHB_04028,+
sepF_3,CDKDDEHB_05079,-
namA,CDKDDEHB_00107,+
group_6150,CDKDDEHB_05290,-
group_6151,CDKDDEHB_04263,+
group_6152,CDKDDEHB_05922,+
dasA_1,CDKDDEHB_01575,-
sigF_2,CDKDDEHB_01565,+
mcm,CDKDDEHB_01418,-
group_6156,CDKDDEHB_05029,+
oppA_2,CDKDDEHB_01702,-
group_6158,CDKDDEHB_02415,-
map-1_2,CDKDDEHB_03750,+
murK_1,CDKDDEHB_00111,+
group_6160,CDKDDEHB_00957,-
sdaA,CDKDDEHB_01362,+
whiD,CDKDDEHB_03802,-
group_6163,CDKDDEHB_01439,-
ispD,CDKDDEHB_02568,-
group_6167,CDKDDEHB_03554,-
rsmD,CDKDDEHB_01239,-
group_6169,CDKDDEHB_05388,+
group_617,CDKDDEHB_00114,+
group_6170,CDKDDEHB_01598,-
tesB_2,CDKDDEHB_04216,+
glmM,CDKDDEHB_03761,+
group_6173,CDKDDEHB_03902,+
glyA2,CDKDDEHB_01361,+
purK,CDKDDEHB_01962,-
group_6176,CDKDDEHB_00357,-
proC_2,CDKDDEHB_03513,+
rimO,CDKDDEHB_01112,-
group_6179,CDKDDEHB_02016,-
gadA_1,CDKDDEHB_00117,+
group_6180,CDKDDEHB_01225,-
ychF,CDKDDEHB_04148,+
frcA,CDKDDEHB_00773,-
group_6183,CDKDDEHB_01872,+
lldR_1,CDKDDEHB_05013,-
coaA,CDKDDEHB_03762,-
group_6186,CDKDDEHB_00303,+
ahpD,CDKDDEHB_04121,+
nrdB,CDKDDEHB_01580,+
group_6189,CDKDDEHB_01187,+
aspC1,CDKDDEHB_03702,-
legI,CDKDDEHB_03961,+
group_6192,CDKDDEHB_05526,+
group_6193,CDKDDEHB_01226,+
group_6194,CDKDDEHB_01429,+
ribBA,CDKDDEHB_05413,+
group_6196,CDKDDEHB_00341,+
acrC_2,CDKDDEHB_04215,+
disA,CDKDDEHB_03494,-
lon_1,CDKDDEHB_01513,-
copA,CDKDDEHB_00890,-
recO,CDKDDEHB_04415,+
citT_1,CDKDDEHB_04482,+
group_6202,CDKDDEHB_00728,+
metG,CDKDDEHB_03112,+
group_6204,CDKDDEHB_04568,-
sglT,CDKDDEHB_02081,+
tyrS,CDKDDEHB_05009,-
group_6207,CDKDDEHB_00319,-
tesB_1,CDKDDEHB_00177,+
murAA_2,CDKDDEHB_01844,+
group_6210,CDKDDEHB_01566,-
rplL,CDKDDEHB_03710,+
yegS,CDKDDEHB_01567,+
glkA_1,CDKDDEHB_00551,-
group_6214,CDKDDEHB_00176,+
tdcB_2,CDKDDEHB_04041,+
yhdG_2,CDKDDEHB_00816,-
ahcY,CDKDDEHB_01910,-
frdA,CDKDDEHB_05670,+
glpQ_1,CDKDDEHB_00092,+
group_622,CDKDDEHB_00205,+
vraR_2,CDKDDEHB_04524,-
pdtaS,CDKDDEHB_01569,-
group_6222,CDKDDEHB_01018,+
group_6223,CDKDDEHB_04063,-
group_6224,CDKDDEHB_02057,-
ubiD,CDKDDEHB_03565,+
group_6226,CDKDDEHB_04188,-
ypdB,CDKDDEHB_05652,+
tal_2,CDKDDEHB_04930,-
cobIJ,CDKDDEHB_04672,+
group_623,CDKDDEHB_00153,+
group_6230,CDKDDEHB_00545,+
group_6231,CDKDDEHB_01749,-
group_6232,CDKDDEHB_04013,-
glpR,CDKDDEHB_00969,+
yfiZ_1,CDKDDEHB_00448,+
kgtP_2,CDKDDEHB_01370,+
clpP1_1,CDKDDEHB_00231,-
paaJ_1,CDKDDEHB_00765,+
nagC_1,CDKDDEHB_00775,-
gatY,CDKDDEHB_02413,+
group_624,CDKDDEHB_00162,-
argG,CDKDDEHB_01516,-
mnmA,CDKDDEHB_01345,-
hisG,CDKDDEHB_05416,+
group_6245,CDKDDEHB_00544,+
group_6246,CDKDDEHB_03528,-
group_6247,CDKDDEHB_03096,+
group_6248,CDKDDEHB_04321,-
group_6249,CDKDDEHB_04406,+
ssuB_1,CDKDDEHB_00164,+
murT,CDKDDEHB_05601,-
rnc,CDKDDEHB_01234,-
group_6252,CDKDDEHB_01542,+
ideR,CDKDDEHB_02266,-
secA,CDKDDEHB_01889,-
ptsI_2,CDKDDEHB_05455,-
group_6256,CDKDDEHB_00088,+
thlA_2,CDKDDEHB_01989,+
group_6258,CDKDDEHB_04069,-
grpE,CDKDDEHB_03172,+
ssuA,CDKDDEHB_00165,+
dasC_3,CDKDDEHB_01573,-
group_6261,CDKDDEHB_05056,+
gap2_3,CDKDDEHB_04921,+
group_6263,CDKDDEHB_02006,-
group_6264,CDKDDEHB_02948,+
eno_1,CDKDDEHB_02007,-
czcO,CDKDDEHB_00167,+
fepD_2,CDKDDEHB_00854,-
pfkA2_2,CDKDDEHB_05599,-
dnaK,CDKDDEHB_03171,+
hemL,CDKDDEHB_03556,+
ohrB,CDKDDEHB_04506,+
fhaB,CDKDDEHB_03042,-
group_6277,CDKDDEHB_02910,+
leuC,CDKDDEHB_01255,-
pbuG,CDKDDEHB_00655,-
group_628,CDKDDEHB_00178,+
group_6280,CDKDDEHB_05297,+
korA,CDKDDEHB_03672,-
sepF_1,CDKDDEHB_00829,-
group_6283,CDKDDEHB_01601,+
atpG,CDKDDEHB_01463,-
group_6285,CDKDDEHB_04100,+
group_6286,CDKDDEHB_05496,+
pstP,CDKDDEHB_03041,-
coaD,CDKDDEHB_01238,-
ppgK,CDKDDEHB_04146,+
group_629,CDKDDEHB_00179,-
group_6290,CDKDDEHB_03330,+
lutB,CDKDDEHB_00835,-
korB,CDKDDEHB_03671,-
gpmA_1,CDKDDEHB_01056,-
liaR_8,CDKDDEHB_05024,+
ylbL,CDKDDEHB_01602,-
group_6296,CDKDDEHB_02983,+
group_6297,CDKDDEHB_03457,+
etfA,CDKDDEHB_00084,-
group_6299,CDKDDEHB_04692,+
group_630,CDKDDEHB_00181,+
group_6300,CDKDDEHB_01920,+
aceE_3,CDKDDEHB_04701,-
gpgP,CDKDDEHB_04361,+
clpS,CDKDDEHB_01791,-
group_6304,CDKDDEHB_04294,+
group_6305,CDKDDEHB_01419,-
group_6306,CDKDDEHB_02554,+
aroC,CDKDDEHB_05360,+
pnp_1,CDKDDEHB_01131,-
trpB,CDKDDEHB_04843,+
COQ5_1,CDKDDEHB_00183,+
hrcA,CDKDDEHB_04384,+
group_6311,CDKDDEHB_01015,+
group_6312,CDKDDEHB_05183,+
group_6313,CDKDDEHB_00393,-
csd_3,CDKDDEHB_04943,+
proB,CDKDDEHB_04350,+
pdtaR,CDKDDEHB_04872,+
hutH,CDKDDEHB_04029,+
der,CDKDDEHB_05068,+
fadF,CDKDDEHB_03122,+
group_632,CDKDDEHB_00187,-
relA,CDKDDEHB_05345,+
paaF,CDKDDEHB_04027,+
group_6322,CDKDDEHB_02258,-
glmS_3,CDKDDEHB_04184,-
dapE_3,CDKDDEHB_01670,-
phoU2,CDKDDEHB_02573,+
group_6326,CDKDDEHB_04787,-
group_6327,CDKDDEHB_01266,-
xylA,CDKDDEHB_00193,-
group_6329,CDKDDEHB_01651,+
group_633,CDKDDEHB_00190,+
lpdC,CDKDDEHB_00677,+
adhC2,CDKDDEHB_04034,+
group_6332,CDKDDEHB_04559,-
rnhB,CDKDDEHB_01053,-
group_6334,CDKDDEHB_02986,+
caiD_3,CDKDDEHB_04985,+
ngcE,CDKDDEHB_00778,-
group_6337,CDKDDEHB_05018,-
sigF_3,CDKDDEHB_02887,+
rpsA,CDKDDEHB_04885,+
group_634,CDKDDEHB_00192,-
group_6340,CDKDDEHB_04688,-
group_6341,CDKDDEHB_01652,+
group_6342,CDKDDEHB_03611,+
dop,CDKDDEHB_05186,+
deoC,CDKDDEHB_04008,-
group_6345,CDKDDEHB_04751,-
kdpE_1,CDKDDEHB_00999,-
lvr_2,CDKDDEHB_05226,+
group_6348,CDKDDEHB_05435,+
group_6349,CDKDDEHB_04760,+
yfmJ_1,CDKDDEHB_00199,-
group_6350,CDKDDEHB_00487,-
gpt,CDKDDEHB_03130,-
rplS,CDKDDEHB_01213,-
obg,CDKDDEHB_04346,+
pheP,CDKDDEHB_01788,-
dnaE2,CDKDDEHB_05094,+
group_6356,CDKDDEHB_05429,-
group_6357,CDKDDEHB_04745,+
group_6358,CDKDDEHB_00012,-
group_636,CDKDDEHB_00200,-
group_6361,CDKDDEHB_04622,+
group_637,CDKDDEHB_00226,-
gltB,CDKDDEHB_04855,+
group_6371,CDKDDEHB_02328,-
crp_2,CDKDDEHB_03718,-
dmdB,CDKDDEHB_02903,-
yhdG_4,CDKDDEHB_05222,-
group_6375,CDKDDEHB_02857,-
group_6376,CDKDDEHB_04759,-
trmI,CDKDDEHB_05182,+
glnQ_2,CDKDDEHB_01083,+
rex,CDKDDEHB_03531,+
group_638,CDKDDEHB_00229,+
trpC,CDKDDEHB_04842,+
group_6381,CDKDDEHB_05875,-
gltC_4,CDKDDEHB_05668,-
ectB_2,CDKDDEHB_04963,-
dapL,CDKDDEHB_01674,-
orn,CDKDDEHB_04180,-
pyrF,CDKDDEHB_05375,+
purD_1,CDKDDEHB_02859,-
group_639,CDKDDEHB_00253,-
bphA3,CDKDDEHB_04941,+
rbsC_1,CDKDDEHB_00391,-
serA,CDKDDEHB_01318,-
group_6396,CDKDDEHB_04703,-
guaB1,CDKDDEHB_05398,+
group_6398,CDKDDEHB_01472,-
atpD,CDKDDEHB_01462,-
ctpA_2,CDKDDEHB_04233,-
group_640,CDKDDEHB_00270,-
nuoN,CDKDDEHB_03642,+
group_6401,CDKDDEHB_02315,-
fba,CDKDDEHB_03196,+
group_6403,CDKDDEHB_01837,-
group_6404,CDKDDEHB_02717,+
maiA_1,CDKDDEHB_01727,-
group_6406,CDKDDEHB_05754,-
mcd,CDKDDEHB_00457,+
atpC,CDKDDEHB_01461,-
nuoM,CDKDDEHB_03641,+
group_6410,CDKDDEHB_01471,-
gatA,CDKDDEHB_01336,-
dapE_4,CDKDDEHB_05156,+
dapA,CDKDDEHB_01124,-
pal,CDKDDEHB_04105,+
group_6415,CDKDDEHB_03199,+
nucS,CDKDDEHB_01450,+
gyrBR,CDKDDEHB_03011,+
fadA_1,CDKDDEHB_00298,-
btuD_8,CDKDDEHB_01698,-
group_642,CDKDDEHB_00272,-
group_6420,CDKDDEHB_03486,+
pyk_1,CDKDDEHB_01411,+
radA_1,CDKDDEHB_02975,-
acuC,CDKDDEHB_03520,+
group_6424,CDKDDEHB_05020,-
ydjF,CDKDDEHB_04714,+
group_6426,CDKDDEHB_02940,+
dppB_1,CDKDDEHB_01136,+
group_6428,CDKDDEHB_03085,-
gyrA_2,CDKDDEHB_03012,+
dpgD,CDKDDEHB_00282,+
spoIIAB,CDKDDEHB_02705,-
group_6431,CDKDDEHB_03934,-
group_6432,CDKDDEHB_02353,+
aroH,CDKDDEHB_04765,+
davT,CDKDDEHB_02767,-
alaS_2,CDKDDEHB_05356,+
pyk_2,CDKDDEHB_04869,+
entH,CDKDDEHB_04879,-
group_6438,CDKDDEHB_03613,+
iolS_1,CDKDDEHB_01324,+
group_644,CDKDDEHB_00283,+
ndhC_2,CDKDDEHB_03676,+
group_6441,CDKDDEHB_02398,-
group_6442,CDKDDEHB_01614,-
group_6443,CDKDDEHB_01609,-
glpD2_1,CDKDDEHB_03808,+
dppA_1,CDKDDEHB_00440,-
osmC,CDKDDEHB_00414,-
tolB,CDKDDEHB_02754,+
rsgA_2,CDKDDEHB_01591,+
mrp,CDKDDEHB_01653,+
ade_1,CDKDDEHB_00289,+
group_6450,CDKDDEHB_00275,-
folP2,CDKDDEHB_01665,+
group_6452,CDKDDEHB_02998,-
glgX_1,CDKDDEHB_00731,+
group_6454,CDKDDEHB_01854,-
hrdB_1,CDKDDEHB_01045,-
nuoH_3,CDKDDEHB_03679,+
group_6457,CDKDDEHB_02561,-
group_6458,CDKDDEHB_04697,-
group_6459,CDKDDEHB_03245,+
ccrA2,CDKDDEHB_00453,+
acm_1,CDKDDEHB_00206,+
group_6462,CDKDDEHB_02584,-
group_6463,CDKDDEHB_04835,-
fadB2,CDKDDEHB_05246,-
sodN,CDKDDEHB_01547,+
mqnE,CDKDDEHB_03570,+
copR_2,CDKDDEHB_04739,-
group_6468,CDKDDEHB_02925,-
asd_1,CDKDDEHB_02758,-
group_647,CDKDDEHB_00334,-
group_6470,CDKDDEHB_05447,+
fgd_5,CDKDDEHB_03551,+
group_6472,CDKDDEHB_05060,+
codAch2,CDKDDEHB_03693,-
nadD,CDKDDEHB_04358,+
hisD,CDKDDEHB_04826,+
group_6476,CDKDDEHB_03177,+
appC,CDKDDEHB_02937,-
whiB_3,CDKDDEHB_02735,-
group_6479,CDKDDEHB_02002,+
group_648,CDKDDEHB_00338,+
zwf2,CDKDDEHB_04929,-
pyrG,CDKDDEHB_05052,+
clpP2_2,CDKDDEHB_04327,+
group_6483,CDKDDEHB_05607,+
exuR,CDKDDEHB_02939,+
fumA,CDKDDEHB_04134,-
proS,CDKDDEHB_01153,-
nudL,CDKDDEHB_02726,-
shbA,CDKDDEHB_03804,+
pckG,CDKDDEHB_04062,+
group_649,CDKDDEHB_00339,-
group_6490,CDKDDEHB_04335,+
rsbV_2,CDKDDEHB_02250,-
yabJ,CDKDDEHB_04072,+
fepC_5,CDKDDEHB_03154,+
gbpA_1,CDKDDEHB_01741,-
fadD3,CDKDDEHB_00643,-
menJ,CDKDDEHB_03627,+
group_6497,CDKDDEHB_02918,+
sugA,CDKDDEHB_00971,+
asnC_2,CDKDDEHB_01803,+
group_65,CDKDDEHB_01142,-
griR_1,CDKDDEHB_00340,-
group_6500,CDKDDEHB_03756,+
group_6501,CDKDDEHB_02346,-
group_6502,CDKDDEHB_00884,-
pyrH,CDKDDEHB_01198,-
ahpE,CDKDDEHB_04531,+
gtaB,CDKDDEHB_02133,-
group_6506,CDKDDEHB_00112,+
mglA_1,CDKDDEHB_00371,-
rsrA,CDKDDEHB_01585,-
group_6509,CDKDDEHB_01357,-
group_651,CDKDDEHB_00342,+
pbsA1,CDKDDEHB_04619,-
kstR2,CDKDDEHB_05137,+
smpB,CDKDDEHB_01859,-
ribM,CDKDDEHB_05412,+
group_6514,CDKDDEHB_04548,-
group_6515,CDKDDEHB_04393,+
lon_2,CDKDDEHB_04823,-
group_6517,CDKDDEHB_04245,+
mctC_2,CDKDDEHB_05001,+
yfcA,CDKDDEHB_04452,+
slyA,CDKDDEHB_00349,+
sigE_4,CDKDDEHB_03490,-
fabH_1,CDKDDEHB_00394,-
fbiD_2,CDKDDEHB_02446,-
artM,CDKDDEHB_01543,+
nuoF,CDKDDEHB_03634,+
argJ,CDKDDEHB_05271,+
ppdK,CDKDDEHB_04451,+
gbsA,CDKDDEHB_03880,+
group_6528,CDKDDEHB_04808,+
gsiD_5,CDKDDEHB_01695,-
pobB,CDKDDEHB_00353,-
group_6530,CDKDDEHB_04951,-
group_6531,CDKDDEHB_01584,-
macB_1,CDKDDEHB_01998,+
cugP_2,CDKDDEHB_05461,+
yceC_2,CDKDDEHB_04908,+
rpsM,CDKDDEHB_03753,+
czcD,CDKDDEHB_00278,+
yidA_1,CDKDDEHB_02924,+
group_6538,CDKDDEHB_02211,-
ettA_2,CDKDDEHB_02087,-
nadX,CDKDDEHB_00359,-
punA,CDKDDEHB_04012,-
regX3_2,CDKDDEHB_01965,-
rplK,CDKDDEHB_03706,+
rplA,CDKDDEHB_03707,+
mdh,CDKDDEHB_03876,+
group_6545,CDKDDEHB_04126,-
groL2,CDKDDEHB_02395,-
ctaD_2,CDKDDEHB_00847,+
rplJ,CDKDDEHB_03709,+
ffh,CDKDDEHB_01221,-
adoK,CDKDDEHB_04724,+
ftsH_3,CDKDDEHB_03432,+
iclR_1,CDKDDEHB_00564,+
guaB,CDKDDEHB_03805,+
add2,CDKDDEHB_01181,+
gcvT_2,CDKDDEHB_03340,+
murG,CDKDDEHB_04797,+
group_6557,CDKDDEHB_03806,+
def_1,CDKDDEHB_01583,-
gpsA,CDKDDEHB_01248,-
betB,CDKDDEHB_00361,-
wbpA,CDKDDEHB_03807,-
qcrB,CDKDDEHB_04734,+
group_6562,CDKDDEHB_04395,+
acdA_4,CDKDDEHB_05604,+
hspR,CDKDDEHB_03174,+
mutT2,CDKDDEHB_01709,-
group_6566,CDKDDEHB_04895,-
group_6567,CDKDDEHB_03914,-
ftsZ,CDKDDEHB_04799,+
nusG,CDKDDEHB_03705,+
group_657,CDKDDEHB_00366,+
htpX_4,CDKDDEHB_05616,-
glpX,CDKDDEHB_04139,-
group_6572,CDKDDEHB_00970,+
group_6573,CDKDDEHB_01877,-
trxB,CDKDDEHB_02996,+
glnM_1,CDKDDEHB_00496,-
group_6576,CDKDDEHB_00542,+
gabD1_2,CDKDDEHB_04665,-
murAA_1,CDKDDEHB_00785,+
group_6579,CDKDDEHB_02908,-
group_658,CDKDDEHB_00383,-
kdsB,CDKDDEHB_03960,+
fadJ_1,CDKDDEHB_00297,-
group_6582,CDKDDEHB_01913,-
aspS,CDKDDEHB_03090,+
group_6584,CDKDDEHB_01155,-
rip1,CDKDDEHB_01163,-
dppB_3,CDKDDEHB_01696,-
dppB_2,CDKDDEHB_01354,-
hisF,CDKDDEHB_04833,+
lepA,CDKDDEHB_04378,+
group_659,CDKDDEHB_00387,-
oppD_5,CDKDDEHB_01699,-
dxs,CDKDDEHB_00771,-
hemE,CDKDDEHB_00761,-
greA,CDKDDEHB_04044,-
dasA_2,CDKDDEHB_01841,-
murF_2,CDKDDEHB_04793,+
moeZ,CDKDDEHB_01627,-
group_6597,CDKDDEHB_00554,-
leuE,CDKDDEHB_03956,+
plsC_2,CDKDDEHB_05286,-
iolG_1,CDKDDEHB_00388,-
sigR,CDKDDEHB_01586,-
gyrA_1,CDKDDEHB_01030,+
group_6602,CDKDDEHB_00772,-
nuoH_2,CDKDDEHB_03636,+
yieH_2,CDKDDEHB_04682,-
group_6605,CDKDDEHB_02893,+
tal_1,CDKDDEHB_01629,-
group_6607,CDKDDEHB_04918,+
maiA_2,CDKDDEHB_01728,-
ctaD_3,CDKDDEHB_04727,+
group_6610,CDKDDEHB_04939,+
egtC,CDKDDEHB_05677,-
group_6612,CDKDDEHB_02725,-
group_6613,CDKDDEHB_02201,-
mrdA_3,CDKDDEHB_04337,+
group_6615,CDKDDEHB_02673,-
sucD_2,CDKDDEHB_03864,+
group_6617,CDKDDEHB_03492,-
acdS,CDKDDEHB_04394,+
mmcR,CDKDDEHB_00415,+
tig,CDKDDEHB_04325,+
codA,CDKDDEHB_03881,+
rutD_1,CDKDDEHB_00505,-
group_663,CDKDDEHB_00420,-
group_6630,CDKDDEHB_05445,+
snpA,CDKDDEHB_03915,+
group_6632,CDKDDEHB_02826,-
ppc,CDKDDEHB_02071,-
gabT,CDKDDEHB_01169,+
opuCB,CDKDDEHB_01804,+
lppS,CDKDDEHB_04729,+
drrA_7,CDKDDEHB_04937,-
recA,CDKDDEHB_01091,-
dinG_4,CDKDDEHB_04994,-
nap,CDKDDEHB_00427,-
nagE2,CDKDDEHB_01782,+
lnrL_4,CDKDDEHB_02926,-
group_6642,CDKDDEHB_03246,+
pstB1,CDKDDEHB_03247,-
group_6644,CDKDDEHB_05817,+
group_6645,CDKDDEHB_05560,-
sdhA,CDKDDEHB_03933,-
group_6647,CDKDDEHB_02490,+
group_6648,CDKDDEHB_03060,+
group_6649,CDKDDEHB_00267,-
qorB_1,CDKDDEHB_00464,-
