Gene,albidoflavus_UYFA156,Sign
putC,OKGGMJON_01444,-
group_6088,OKGGMJON_00267,-
group_6089,OKGGMJON_03691,+
rppH_1,OKGGMJON_00232,-
ald,OKGGMJON_05179,+
rpoC,OKGGMJON_03830,+
tgnC,OKGGMJON_04117,-
truB,OKGGMJON_01271,-
ycbX,OKGGMJON_00239,+
ctaB,OKGGMJON_05053,+
glnB_2,OKGGMJON_04768,-
icd,OKGGMJON_05418,+
group_6107,OKGGMJON_00829,-
yceD_2,OKGGMJON_03273,+
lpdA,OKGGMJON_04124,+
alkB,OKGGMJON_00248,-
mamB,OKGGMJON_02058,-
fadM,OKGGMJON_01445,-
amtB,OKGGMJON_01354,-
ybeY,OKGGMJON_04508,+
rpoB,OKGGMJON_03829,+
pheA,OKGGMJON_03168,-
group_6116,OKGGMJON_01117,-
group_6117,OKGGMJON_01644,+
group_6118,OKGGMJON_04304,-
group_6119,OKGGMJON_01477,+
liaR_1,OKGGMJON_00252,+
dnaJ2,OKGGMJON_04487,+
aceE_2,OKGGMJON_04634,-
poxB,OKGGMJON_00793,-
sorC,OKGGMJON_05546,+
atpB,OKGGMJON_01615,-
thrB,OKGGMJON_01625,-
yceC_1,OKGGMJON_01092,-
glnA_2,OKGGMJON_04798,-
ddmA1,OKGGMJON_04580,-
ngcF,OKGGMJON_00911,-
group_613,OKGGMJON_00274,+
group_6130,OKGGMJON_04195,+
uox,OKGGMJON_00757,-
fadJ_3,OKGGMJON_00900,+
rpe,OKGGMJON_05545,+
argH,OKGGMJON_05436,+
group_6135,OKGGMJON_01992,-
pknD_2,OKGGMJON_02172,-
ilvD,OKGGMJON_03626,+
cmk,OKGGMJON_05190,+
group_6139,OKGGMJON_05812,+
group_614,OKGGMJON_00279,-
group_6140,OKGGMJON_01693,-
COQ2,OKGGMJON_03694,+
mshA_2,OKGGMJON_02732,-
group_6143,OKGGMJON_00550,-
whiA,OKGGMJON_05041,+
ubiX,OKGGMJON_03695,+
group_6146,OKGGMJON_01656,-
group_6147,OKGGMJON_05337,+
group_6148,OKGGMJON_04137,+
sepF_3,OKGGMJON_05202,-
namA,OKGGMJON_00283,+
group_6150,OKGGMJON_05446,-
group_6151,OKGGMJON_04360,+
group_6152,OKGGMJON_06109,+
dasA_1,OKGGMJON_01727,-
sigF_2,OKGGMJON_01718,+
mcm,OKGGMJON_01552,-
group_6156,OKGGMJON_05153,+
oppA_2,OKGGMJON_01857,-
group_6158,OKGGMJON_02611,-
map-1_2,OKGGMJON_03874,+
murK_1,OKGGMJON_00290,+
group_6160,OKGGMJON_01096,-
sdaA,OKGGMJON_01493,+
whiD,OKGGMJON_03924,-
group_6163,OKGGMJON_01586,-
ispD,OKGGMJON_02713,-
group_6167,OKGGMJON_03677,-
rsmD,OKGGMJON_01368,-
group_6169,OKGGMJON_05542,+
group_617,OKGGMJON_00294,+
group_6170,OKGGMJON_01751,-
tesB_2,OKGGMJON_04307,+
glmM,OKGGMJON_03885,+
group_6173,OKGGMJON_04026,+
glyA2,OKGGMJON_01492,+
purK,OKGGMJON_02113,-
group_6176,OKGGMJON_00524,-
proC_2,OKGGMJON_03634,+
rimO,OKGGMJON_01237,-
group_6179,OKGGMJON_02174,-
gadA_1,OKGGMJON_00297,+
group_6180,OKGGMJON_01355,-
ychF,OKGGMJON_04249,+
frcA,OKGGMJON_00907,-
group_6183,OKGGMJON_02018,+
lldR_1,OKGGMJON_05137,-
coaA,OKGGMJON_03886,-
group_6186,OKGGMJON_00473,+
ahpD,OKGGMJON_04219,+
nrdB,OKGGMJON_01732,+
group_6189,OKGGMJON_01316,+
aspC1,OKGGMJON_03820,-
legI,OKGGMJON_04077,+
group_6192,OKGGMJON_05684,+
group_6193,OKGGMJON_01356,+
group_6194,OKGGMJON_01561,+
ribBA,OKGGMJON_05567,+
group_6196,OKGGMJON_00504,+
acrC_2,OKGGMJON_04306,+
disA,OKGGMJON_03615,-
lon_1,OKGGMJON_01662,-
copA,OKGGMJON_01043,-
recO,OKGGMJON_04517,+
citT_1,OKGGMJON_04582,+
group_6202,OKGGMJON_00863,+
metG,OKGGMJON_02992,-
group_6204,OKGGMJON_04674,-
sglT,OKGGMJON_02249,+
tyrS,OKGGMJON_05133,-
group_6207,OKGGMJON_00490,-
tesB_1,OKGGMJON_00341,+
murAA_2,OKGGMJON_01990,+
group_6210,OKGGMJON_01719,-
rplL,OKGGMJON_03828,+
yegS,OKGGMJON_01720,+
glkA_1,OKGGMJON_00714,-
group_6214,OKGGMJON_00340,+
tdcB_2,OKGGMJON_04150,+
yhdG_2,OKGGMJON_00968,-
ahcY,OKGGMJON_02057,-
frdA,OKGGMJON_05835,+
glpQ_1,OKGGMJON_00269,+
group_622,OKGGMJON_00372,+
vraR_2,OKGGMJON_04629,-
pdtaS,OKGGMJON_01722,-
group_6222,OKGGMJON_01137,+
group_6223,OKGGMJON_04177,-
group_6224,OKGGMJON_02226,-
ubiD,OKGGMJON_03693,+
group_6226,OKGGMJON_04285,-
ypdB,OKGGMJON_05817,+
tal_2,OKGGMJON_05051,-
cobIJ,OKGGMJON_04783,+
group_623,OKGGMJON_00316,+
group_6230,OKGGMJON_00708,+
group_6231,OKGGMJON_01903,-
group_6232,OKGGMJON_04123,-
glpR,OKGGMJON_01101,+
yfiZ_1,OKGGMJON_00620,+
kgtP_2,OKGGMJON_01505,+
clpP1_1,OKGGMJON_00400,-
paaJ_1,OKGGMJON_00899,+
nagC_1,OKGGMJON_00909,-
gatY,OKGGMJON_02609,+
group_624,OKGGMJON_00325,-
argG,OKGGMJON_01665,-
mnmA,OKGGMJON_01476,-
hisG,OKGGMJON_05570,+
group_6245,OKGGMJON_00707,+
group_6246,OKGGMJON_03650,-
group_6247,OKGGMJON_03009,-
group_6248,OKGGMJON_04419,-
group_6249,OKGGMJON_04509,+
ssuB_1,OKGGMJON_00327,+
murT,OKGGMJON_05765,-
rnc,OKGGMJON_01363,-
group_6252,OKGGMJON_01695,+
ideR,OKGGMJON_02440,-
secA,OKGGMJON_02034,-
ptsI_2,OKGGMJON_05615,-
group_6256,OKGGMJON_00264,+
thlA_2,OKGGMJON_02146,+
group_6258,OKGGMJON_04183,-
grpE,OKGGMJON_02948,-
ssuA,OKGGMJON_00328,+
dasC_3,OKGGMJON_01725,-
group_6261,OKGGMJON_05180,+
gap2_3,OKGGMJON_05042,+
group_6263,OKGGMJON_02165,-
group_6264,OKGGMJON_03141,-
eno_1,OKGGMJON_02166,-
czcO,OKGGMJON_00330,+
fepD_2,OKGGMJON_01005,-
pfkA2_2,OKGGMJON_05763,-
dnaK,OKGGMJON_02949,-
hemL,OKGGMJON_03679,+
ohrB,OKGGMJON_04609,+
fhaB,OKGGMJON_03063,+
group_6277,OKGGMJON_03180,-
leuC,OKGGMJON_01385,-
pbuG,OKGGMJON_00782,-
group_628,OKGGMJON_00342,+
group_6280,OKGGMJON_05453,+
korA,OKGGMJON_03791,-
sepF_1,OKGGMJON_00979,-
group_6283,OKGGMJON_01754,+
atpG,OKGGMJON_01610,-
group_6285,OKGGMJON_04197,+
group_6286,OKGGMJON_05657,+
pstP,OKGGMJON_03064,+
coaD,OKGGMJON_01367,-
ppgK,OKGGMJON_04247,+
group_629,OKGGMJON_00343,-
group_6290,OKGGMJON_02776,-
lutB,OKGGMJON_00985,-
korB,OKGGMJON_03790,-
gpmA_1,OKGGMJON_01178,-
liaR_8,OKGGMJON_05148,+
ylbL,OKGGMJON_01755,-
group_6296,OKGGMJON_03122,-
group_6297,OKGGMJON_03577,+
etfA,OKGGMJON_00260,-
group_6299,OKGGMJON_04804,+
group_630,OKGGMJON_00345,+
group_6300,OKGGMJON_02066,+
aceE_3,OKGGMJON_04813,-
gpgP,OKGGMJON_04463,+
clpS,OKGGMJON_01944,-
group_6304,OKGGMJON_04390,+
group_6305,OKGGMJON_01553,-
group_6306,OKGGMJON_02699,+
aroC,OKGGMJON_05518,+
pnp_1,OKGGMJON_01256,-
trpB,OKGGMJON_04962,+
COQ5_1,OKGGMJON_00347,+
hrcA,OKGGMJON_04486,+
group_6311,OKGGMJON_01134,+
group_6312,OKGGMJON_05311,+
group_6313,OKGGMJON_00560,-
csd_3,OKGGMJON_05064,+
proB,OKGGMJON_04451,+
pdtaR,OKGGMJON_04991,+
hutH,OKGGMJON_04138,+
der,OKGGMJON_05192,+
fadF,OKGGMJON_02984,-
group_632,OKGGMJON_00351,-
relA,OKGGMJON_05503,+
paaF,OKGGMJON_04136,+
group_6322,OKGGMJON_02431,-
glmS_3,OKGGMJON_04282,-
dapE_3,OKGGMJON_01827,-
phoU2,OKGGMJON_02718,+
group_6326,OKGGMJON_04905,-
group_6327,OKGGMJON_01396,-
xylA,OKGGMJON_00357,-
group_6329,OKGGMJON_01808,+
group_633,OKGGMJON_00354,+
lpdC,OKGGMJON_00805,+
adhC2,OKGGMJON_04143,+
group_6332,OKGGMJON_04664,-
rnhB,OKGGMJON_01175,-
group_6334,OKGGMJON_03119,-
caiD_3,OKGGMJON_05107,+
ngcE,OKGGMJON_00912,-
group_6337,OKGGMJON_05142,-
sigF_3,OKGGMJON_03206,-
rpsA,OKGGMJON_05005,+
group_634,OKGGMJON_00356,-
group_6340,OKGGMJON_04800,-
group_6341,OKGGMJON_01809,+
group_6342,OKGGMJON_03741,+
dop,OKGGMJON_05314,+
deoC,OKGGMJON_04119,-
group_6345,OKGGMJON_04866,-
kdpE_1,OKGGMJON_01118,-
lvr_2,OKGGMJON_05358,+
group_6348,OKGGMJON_05593,+
group_6349,OKGGMJON_04875,+
yfmJ_1,OKGGMJON_00362,-
group_6350,OKGGMJON_00658,-
gpt,OKGGMJON_02978,+
rplS,OKGGMJON_01342,-
obg,OKGGMJON_04447,+
pheP,OKGGMJON_01941,-
dnaE2,OKGGMJON_05216,+
group_6356,OKGGMJON_05584,-
group_6357,OKGGMJON_04859,+
group_6358,OKGGMJON_06125,+
group_636,OKGGMJON_00363,-
group_6361,OKGGMJON_04724,+
group_637,OKGGMJON_00395,-
gltB,OKGGMJON_04974,+
group_6371,OKGGMJON_02510,-
crp_2,OKGGMJON_03837,-
dmdB,OKGGMJON_03187,+
yhdG_4,OKGGMJON_05354,-
group_6375,OKGGMJON_03234,+
group_6376,OKGGMJON_04874,-
trmI,OKGGMJON_05310,+
glnQ_2,OKGGMJON_01207,+
rex,OKGGMJON_03653,+
group_638,OKGGMJON_00398,+
trpC,OKGGMJON_04961,+
group_6381,OKGGMJON_06060,-
gltC_4,OKGGMJON_05833,-
ectB_2,OKGGMJON_05086,-
dapL,OKGGMJON_01831,-
orn,OKGGMJON_04278,-
pyrF,OKGGMJON_05533,+
purD_1,OKGGMJON_03232,+
group_639,OKGGMJON_00419,-
bphA3,OKGGMJON_05062,+
rbsC_1,OKGGMJON_00558,-
serA,OKGGMJON_01452,-
group_6396,OKGGMJON_04815,-
guaB1,OKGGMJON_05552,+
group_6398,OKGGMJON_01619,-
atpD,OKGGMJON_01609,-
ctpA_2,OKGGMJON_04323,-
group_640,OKGGMJON_00437,-
nuoN,OKGGMJON_03772,+
group_6401,OKGGMJON_02495,-
fba,OKGGMJON_02927,-
group_6403,OKGGMJON_01982,-
group_6404,OKGGMJON_03414,-
maiA_1,OKGGMJON_01881,-
group_6406,OKGGMJON_05918,-
mcd,OKGGMJON_00629,+
atpC,OKGGMJON_01608,-
nuoM,OKGGMJON_03771,+
group_6410,OKGGMJON_01618,-
gatA,OKGGMJON_01468,-
dapE_4,OKGGMJON_05284,+
dapA,OKGGMJON_01249,-
pal,OKGGMJON_04203,+
group_6415,OKGGMJON_02923,-
nucS,OKGGMJON_01597,+
gyrBR,OKGGMJON_03094,-
fadA_1,OKGGMJON_00468,-
btuD_8,OKGGMJON_01853,-
group_642,OKGGMJON_00440,-
group_6420,OKGGMJON_03606,+
pyk_1,OKGGMJON_01545,+
radA_1,OKGGMJON_03130,+
acuC,OKGGMJON_03641,+
group_6424,OKGGMJON_05144,-
ydjF,OKGGMJON_04827,+
group_6426,OKGGMJON_03149,-
dppB_1,OKGGMJON_01261,+
group_6428,OKGGMJON_03019,+
gyrA_2,OKGGMJON_03093,-
dpgD,OKGGMJON_00452,+
spoIIAB,OKGGMJON_03426,+
group_6431,OKGGMJON_04058,-
group_6432,OKGGMJON_02536,+
aroH,OKGGMJON_04880,+
davT,OKGGMJON_03329,+
alaS_2,OKGGMJON_05514,+
pyk_2,OKGGMJON_04988,+
entH,OKGGMJON_04998,-
group_6438,OKGGMJON_03743,+
iolS_1,OKGGMJON_01458,+
group_644,OKGGMJON_00453,+
ndhC_2,OKGGMJON_03796,+
group_6441,OKGGMJON_02583,-
group_6442,OKGGMJON_01768,-
group_6443,OKGGMJON_01762,-
glpD2_1,OKGGMJON_03930,+
dppA_1,OKGGMJON_00609,-
osmC,OKGGMJON_00584,-
tolB,OKGGMJON_03343,-
rsgA_2,OKGGMJON_01744,+
mrp,OKGGMJON_01810,+
ade_1,OKGGMJON_00459,+
group_6450,OKGGMJON_00443,-
folP2,OKGGMJON_01822,+
group_6452,OKGGMJON_03107,+
glgX_1,OKGGMJON_00866,+
group_6454,OKGGMJON_02000,-
hrdB_1,OKGGMJON_01165,-
nuoH_3,OKGGMJON_03798,+
group_6457,OKGGMJON_02706,-
group_6458,OKGGMJON_04809,-
group_6459,OKGGMJON_02863,-
ccrA2,OKGGMJON_00625,+
acm_1,OKGGMJON_00373,+
group_6462,OKGGMJON_03507,+
group_6463,OKGGMJON_04954,-
fadB2,OKGGMJON_05409,-
sodN,OKGGMJON_01700,+
mqnE,OKGGMJON_03698,+
copR_2,OKGGMJON_04853,-
group_6468,OKGGMJON_03165,+
asd_1,OKGGMJON_03339,+
group_647,OKGGMJON_00497,-
group_6470,OKGGMJON_05606,+
fgd_5,OKGGMJON_03674,+
group_6472,OKGGMJON_05184,+
codAch2,OKGGMJON_03811,-
nadD,OKGGMJON_04460,+
hisD,OKGGMJON_04945,+
group_6476,OKGGMJON_02943,-
appC,OKGGMJON_03152,+
whiB_3,OKGGMJON_03396,+
group_6479,OKGGMJON_02161,+
group_648,OKGGMJON_00501,+
zwf2,OKGGMJON_05050,-
pyrG,OKGGMJON_05176,+
clpP2_2,OKGGMJON_04425,+
group_6483,OKGGMJON_05771,+
exuR,OKGGMJON_03150,-
fumA,OKGGMJON_04232,-
proS,OKGGMJON_01281,-
nudL,OKGGMJON_03405,+
shbA,OKGGMJON_03926,+
pckG,OKGGMJON_04176,+
group_649,OKGGMJON_00502,-
group_6490,OKGGMJON_04434,+
rsbV_2,OKGGMJON_02424,-
yabJ,OKGGMJON_04186,+
fepC_5,OKGGMJON_02961,-
gbpA_1,OKGGMJON_01895,-
fadD3,OKGGMJON_00773,-
menJ,OKGGMJON_03756,+
group_6497,OKGGMJON_03172,-
sugA,OKGGMJON_01103,+
asnC_2,OKGGMJON_01956,+
group_65,OKGGMJON_01267,-
griR_1,OKGGMJON_00503,-
group_6500,OKGGMJON_03880,+
group_6501,OKGGMJON_02533,-
group_6502,OKGGMJON_01033,-
pyrH,OKGGMJON_01327,-
ahpE,OKGGMJON_04636,+
gtaB,OKGGMJON_02299,-
group_6506,OKGGMJON_00291,+
mglA_1,OKGGMJON_00539,-
rsrA,OKGGMJON_01737,-
group_6509,OKGGMJON_01488,-
group_651,OKGGMJON_00505,+
pbsA1,OKGGMJON_04721,-
kstR2,OKGGMJON_05264,+
smpB,OKGGMJON_02006,-
ribM,OKGGMJON_05566,+
group_6514,OKGGMJON_04653,-
group_6515,OKGGMJON_04496,+
lon_2,OKGGMJON_04942,-
group_6517,OKGGMJON_04340,+
mctC_2,OKGGMJON_05125,+
yfcA,OKGGMJON_04543,+
slyA,OKGGMJON_00516,+
sigE_4,OKGGMJON_03611,-
fabH_1,OKGGMJON_00561,-
fbiD_2,OKGGMJON_02641,-
artM,OKGGMJON_01696,+
nuoF,OKGGMJON_03763,+
argJ,OKGGMJON_05426,+
ppdK,OKGGMJON_04542,+
gbsA,OKGGMJON_04004,+
group_6528,OKGGMJON_04926,+
gsiD_5,OKGGMJON_01850,-
pobB,OKGGMJON_00520,-
group_6530,OKGGMJON_05073,-
group_6531,OKGGMJON_01736,-
macB_1,OKGGMJON_02156,+
cugP_2,OKGGMJON_05621,+
yceC_2,OKGGMJON_05027,+
rpsM,OKGGMJON_03877,+
czcD,OKGGMJON_00446,+
yidA_1,OKGGMJON_03166,-
group_6538,OKGGMJON_02372,-
ettA_2,OKGGMJON_02255,-
nadX,OKGGMJON_00526,-
punA,OKGGMJON_04122,-
regX3_2,OKGGMJON_02116,-
rplK,OKGGMJON_03824,+
rplA,OKGGMJON_03825,+
mdh,OKGGMJON_04000,+
group_6545,OKGGMJON_04224,-
groL2,OKGGMJON_02580,-
ctaD_2,OKGGMJON_00998,+
rplJ,OKGGMJON_03827,+
ffh,OKGGMJON_01351,-
adoK,OKGGMJON_04837,+
ftsH_3,OKGGMJON_03549,+
iclR_1,OKGGMJON_00728,+
guaB,OKGGMJON_03927,+
add2,OKGGMJON_01310,+
gcvT_2,OKGGMJON_02766,-
murG,OKGGMJON_04915,+
group_6557,OKGGMJON_03928,+
def_1,OKGGMJON_01735,-
gpsA,OKGGMJON_01378,-
betB,OKGGMJON_00527,-
wbpA,OKGGMJON_03929,-
qcrB,OKGGMJON_04847,+
group_6562,OKGGMJON_04498,+
acdA_4,OKGGMJON_05768,+
hspR,OKGGMJON_02946,-
mutT2,OKGGMJON_01865,-
group_6566,OKGGMJON_05014,-
group_6567,OKGGMJON_04037,-
ftsZ,OKGGMJON_04917,+
nusG,OKGGMJON_03823,+
group_657,OKGGMJON_00534,+
htpX_4,OKGGMJON_05781,-
glpX,OKGGMJON_04239,-
group_6572,OKGGMJON_01102,+
group_6573,OKGGMJON_02024,-
trxB,OKGGMJON_03109,-
glnM_1,OKGGMJON_00668,-
group_6576,OKGGMJON_00705,+
gabD1_2,OKGGMJON_04774,-
murAA_1,OKGGMJON_00920,+
group_6579,OKGGMJON_03182,+
group_658,OKGGMJON_00551,-
kdsB,OKGGMJON_04076,+
fadJ_1,OKGGMJON_00467,-
group_6582,OKGGMJON_02060,-
aspS,OKGGMJON_03015,-
group_6584,OKGGMJON_01283,-
rip1,OKGGMJON_01291,-
dppB_3,OKGGMJON_01851,-
dppB_2,OKGGMJON_01485,-
hisF,OKGGMJON_04952,+
lepA,OKGGMJON_04481,+
group_659,OKGGMJON_00555,-
oppD_5,OKGGMJON_01854,-
dxs,OKGGMJON_00905,-
hemE,OKGGMJON_00895,-
greA,OKGGMJON_04153,-
dasA_2,OKGGMJON_01986,-
murF_2,OKGGMJON_04911,+
moeZ,OKGGMJON_01784,-
group_6597,OKGGMJON_00717,-
leuE,OKGGMJON_04072,+
plsC_2,OKGGMJON_05442,-
iolG_1,OKGGMJON_00556,-
sigR,OKGGMJON_01738,-
gyrA_1,OKGGMJON_01150,+
group_6602,OKGGMJON_00906,-
nuoH_2,OKGGMJON_03765,+
yieH_2,OKGGMJON_04794,-
group_6605,OKGGMJON_03200,-
tal_1,OKGGMJON_01786,-
group_6607,OKGGMJON_05038,+
maiA_2,OKGGMJON_01882,-
ctaD_3,OKGGMJON_04840,+
group_6610,OKGGMJON_05060,+
egtC,OKGGMJON_05842,-
group_6612,OKGGMJON_03406,+
group_6613,OKGGMJON_02362,-
mrdA_3,OKGGMJON_04436,+
group_6615,OKGGMJON_05402,+
sucD_2,OKGGMJON_03986,+
group_6617,OKGGMJON_03613,-
acdS,OKGGMJON_04497,+
mmcR,OKGGMJON_00585,+
tig,OKGGMJON_04423,+
codA,OKGGMJON_04005,+
rutD_1,OKGGMJON_00676,-
group_663,OKGGMJON_00590,-
group_6630,OKGGMJON_05604,+
snpA,OKGGMJON_04038,+
group_6632,OKGGMJON_03269,+
ppc,OKGGMJON_02240,-
gabT,OKGGMJON_01298,+
opuCB,OKGGMJON_01957,+
lppS,OKGGMJON_04842,+
drrA_7,OKGGMJON_05058,-
recA,OKGGMJON_01215,-
dinG_4,OKGGMJON_05117,-
nap,OKGGMJON_00598,-
nagE2,OKGGMJON_01934,+
lnrL_4,OKGGMJON_03164,+
group_6642,OKGGMJON_02862,-
pstB1,OKGGMJON_02861,+
group_6644,OKGGMJON_05993,+
group_6645,OKGGMJON_05719,-
sdhA,OKGGMJON_04057,-
group_6647,OKGGMJON_02675,+
group_6648,OKGGMJON_03043,-
group_6649,OKGGMJON_00434,-
qorB_1,OKGGMJON_00636,-
group_6650,OKGGMJON_06105,+
gph_7,OKGGMJON_05305,+
group_6652,OKGGMJON_06104,+
group_6653,OKGGMJON_00444,-
nanR_1,OKGGMJON_01166,-
nuoL,OKGGMJON_03770,+
upp_1,OKGGMJON_03213,+
deoA,OKGGMJON_04092,+
group_6658,OKGGMJON_03433,+
nagR_5,OKGGMJON_05712,+
ogt_1,OKGGMJON_00642,-
group_6660,OKGGMJON_05307,-
mshC,OKGGMJON_05298,+
group_6662,OKGGMJON_04826,-
crtB_1,OKGGMJON_00436,-
group_6664,OKGGMJON_01252,+
group_6665,OKGGMJON_01811,-
metF,OKGGMJON_04895,+
bfr,OKGGMJON_04882,-
treS,OKGGMJON_01530,+
carB_2,OKGGMJON_05531,+
group_667,OKGGMJON_00657,-
purA,OKGGMJON_02910,-
prtV,OKGGMJON_01948,-
ecm,OKGGMJON_00626,+
citT_2,OKGGMJON_05921,+
uvrA_2,OKGGMJON_05034,+
gatB,OKGGMJON_01466,-
groL1,OKGGMJON_03921,+
group_6677,OKGGMJON_03816,+
rhaS,OKGGMJON_04279,-
dksA,OKGGMJON_04924,+
group_668,OKGGMJON_00662,-
ldtB_3,OKGGMJON_04140,+
dinF,OKGGMJON_03129,-
group_6682,OKGGMJON_04213,+
gsiC_2,OKGGMJON_01286,-
rplI,OKGGMJON_03128,+
moaA,OKGGMJON_00430,-
glpK_1,OKGGMJON_05301,-
group_6687,OKGGMJON_05291,+
tatB,OKGGMJON_01812,-
nadA,OKGGMJON_04832,-
group_669,OKGGMJON_00663,-
yidH,OKGGMJON_05269,-
fur,OKGGMJON_02767,-
mcl1,OKGGMJON_00627,+
group_6693,OKGGMJON_00699,+
aroA,OKGGMJON_01743,+
metK,OKGGMJON_05538,+
group_6696,OKGGMJON_00865,-
aidB_1,OKGGMJON_00678,-
group_6709,OKGGMJON_03103,+
btuD_4,OKGGMJON_00681,+
pucD_2,OKGGMJON_01980,-
group_6711,OKGGMJON_01242,+
tsf,OKGGMJON_01328,-
group_6713,OKGGMJON_03581,+
clpC1,OKGGMJON_03604,+
panB,OKGGMJON_04727,-
group_6716,OKGGMJON_01684,-
lfrA_1,OKGGMJON_06122,+
yheI,OKGGMJON_00684,-
group_6720,OKGGMJON_05607,-
rnj,OKGGMJON_01248,-
nudC_1,OKGGMJON_01774,-
group_6723,OKGGMJON_05049,-
pepN_1,OKGGMJON_04402,-
group_6725,OKGGMJON_04922,+
nusB,OKGGMJON_05524,+
glgP,OKGGMJON_01526,-
gmk,OKGGMJON_05535,+
thiL,OKGGMJON_01374,-
fepC_1,OKGGMJON_00685,-
group_6730,OKGGMJON_04614,+
gltD,OKGGMJON_04975,+
pyrB,OKGGMJON_05527,+
clpX,OKGGMJON_04426,+
thiC,OKGGMJON_03147,+
ask,OKGGMJON_03338,+
group_6736,OKGGMJON_03313,+
sufU,OKGGMJON_05065,+
group_6738,OKGGMJON_02314,+
rppA,OKGGMJON_05991,-
group_674,OKGGMJON_00701,-
pucD_1,OKGGMJON_00783,-
bca_2,OKGGMJON_01748,-
gylR,OKGGMJON_05303,-
nhaK,OKGGMJON_04928,+
msiK,OKGGMJON_02698,+
group_6745,OKGGMJON_05522,+
trpA_2,OKGGMJON_04963,+
group_6747,OKGGMJON_01071,-
rpmE2_2,OKGGMJON_05870,-
group_6749,OKGGMJON_04999,-
kimA,OKGGMJON_01113,-
arnC,OKGGMJON_05234,-
group_6752,OKGGMJON_05706,-
pigE,OKGGMJON_00429,-
lutA,OKGGMJON_00986,-
lutP_1,OKGGMJON_00987,+
group_676,OKGGMJON_00710,+
srlR_2,OKGGMJON_00243,+
group_6761,OKGGMJON_04712,+
group_6762,OKGGMJON_06070,-
rutE,OKGGMJON_04241,-
yrdA,OKGGMJON_05686,+
group_6765,OKGGMJON_03534,+
hcaB_1,OKGGMJON_02278,-
group_6767,OKGGMJON_03320,-
pimB_2,OKGGMJON_04865,+
group_6769,OKGGMJON_04404,-
group_677,OKGGMJON_00722,-
artQ_2,OKGGMJON_01888,+
apeB,OKGGMJON_03023,+
asnC_1,OKGGMJON_00305,+
gsiC_3,OKGGMJON_06004,+
glgE1,OKGGMJON_01529,+
gsiD_2,OKGGMJON_01262,+
pepPI,OKGGMJON_03176,-
oxyR_1,OKGGMJON_04217,-
group_6778,OKGGMJON_00220,-
map,OKGGMJON_04722,-
group_678,OKGGMJON_00735,-
glpK_2,OKGGMJON_05924,-
leuS,OKGGMJON_04469,+
group_6782,OKGGMJON_02194,+
thiG,OKGGMJON_04889,-
group_6784,OKGGMJON_04996,-
proA_1,OKGGMJON_03515,-
group_6786,OKGGMJON_02071,+
sasA_8,OKGGMJON_04854,-
entS_4,OKGGMJON_02494,-
group_6789,OKGGMJON_00812,+
group_679,OKGGMJON_00744,-
group_6790,OKGGMJON_02384,-
group_6791,OKGGMJON_04482,+
group_6792,OKGGMJON_05100,-
group_6793,OKGGMJON_03136,-
arcA_2,OKGGMJON_00970,-
yhhS,OKGGMJON_03289,-
ddpF_1,OKGGMJON_01264,+
alc,OKGGMJON_04401,+
group_6798,OKGGMJON_04890,-
ssgB_2,OKGGMJON_01952,+
tagU_4,OKGGMJON_02082,+
group_680,OKGGMJON_00750,+
chpH,OKGGMJON_05285,+
group_6801,OKGGMJON_04055,-
group_6802,OKGGMJON_05790,+
asd_2,OKGGMJON_04403,-
group_6804,OKGGMJON_05732,+
fbiC,OKGGMJON_02386,-
atpH,OKGGMJON_01612,-
dasC_4,OKGGMJON_01984,-
group_6808,OKGGMJON_04392,+
miaB,OKGGMJON_01203,-
group_681,OKGGMJON_00778,+
group_6810,OKGGMJON_05349,+
mqnD,OKGGMJON_02509,+
dcuR,OKGGMJON_01541,+
mch,OKGGMJON_00628,+
group_6814,OKGGMJON_05572,-
nagC_5,OKGGMJON_05713,-
group_6816,OKGGMJON_01753,-
group_6817,OKGGMJON_01383,-
dnaA,OKGGMJON_03099,-
group_6819,OKGGMJON_03427,+
group_682,OKGGMJON_00789,-
group_6820,OKGGMJON_01078,-
drrA_5,OKGGMJON_04151,+
btuD_22,OKGGMJON_04938,+
sseC2,OKGGMJON_02775,-
group_6824,OKGGMJON_01548,-
group_6825,OKGGMJON_01081,-
yajO_1,OKGGMJON_02491,+
rodA_2,OKGGMJON_03065,+
trmD,OKGGMJON_01343,-
rpiB,OKGGMJON_04414,+
group_683,OKGGMJON_00796,+
group_6830,OKGGMJON_03284,+
bca_1,OKGGMJON_00764,+
ligA,OKGGMJON_01470,-
serC,OKGGMJON_02470,+
group_6834,OKGGMJON_02280,-
bglA_1,OKGGMJON_00397,+
group_6836,OKGGMJON_05253,+
murE,OKGGMJON_04910,+
kynA_1,OKGGMJON_02921,-
group_6839,OKGGMJON_05796,+
group_684,OKGGMJON_00803,-
group_6843,OKGGMJON_05799,+
group_6844,OKGGMJON_03143,+
mdtD_1,OKGGMJON_00379,+
hemA,OKGGMJON_03654,+
xylB_1,OKGGMJON_00358,+
ltaE,OKGGMJON_00266,-
group_6849,OKGGMJON_05309,+
group_685,OKGGMJON_00815,+
add,OKGGMJON_04102,+
prr_1,OKGGMJON_01307,-
lutP_2,OKGGMJON_02065,-
group_6857,OKGGMJON_01692,-
thlA_1,OKGGMJON_00382,-
group_6859,OKGGMJON_05155,-
group_686,OKGGMJON_00817,-
