Gene,albidoflavus_W68,Sign
group_5922,PCKCKJGC_03211,-
group_5923,PCKCKJGC_02036,-
ispG,PCKCKJGC_01233,-
group_5929,PCKCKJGC_04843,+
group_5930,PCKCKJGC_01540,+
group_5931,PCKCKJGC_05400,-
group_5932,PCKCKJGC_01180,-
rbpA_2,PCKCKJGC_05394,-
rpoZ,PCKCKJGC_05347,+
infC,PCKCKJGC_05181,+
prcB,PCKCKJGC_05134,+
prmC_2,PCKCKJGC_01571,-
novJ_2,PCKCKJGC_05463,+
group_5942,PCKCKJGC_03273,+
group_5943,PCKCKJGC_01635,+
rpmB,PCKCKJGC_01317,+
group_5945,PCKCKJGC_01558,-
ilvH,PCKCKJGC_01393,-
artQ_1,PCKCKJGC_01834,+
group_5948,PCKCKJGC_05114,+
group_5949,PCKCKJGC_03167,+
clpP1_2,PCKCKJGC_04265,+
scoF_3,PCKCKJGC_04803,+
group_5952,PCKCKJGC_02446,-
group_5953,PCKCKJGC_01550,-
rpsG,PCKCKJGC_03696,+
group_5955,PCKCKJGC_04689,+
group_5956,PCKCKJGC_03274,+
whiB_2,PCKCKJGC_02020,-
rpsF,PCKCKJGC_03025,+
mraY,PCKCKJGC_04739,+
fadA_4,PCKCKJGC_05839,+
carD,PCKCKJGC_02632,-
mtcA1,PCKCKJGC_04734,-
ectC,PCKCKJGC_04907,-
cobO,PCKCKJGC_04917,-
glnA_1,PCKCKJGC_04572,+
dps_2,PCKCKJGC_03359,+
hisE,PCKCKJGC_05380,+
yceD_3,PCKCKJGC_04474,+
rcp1_2,PCKCKJGC_05596,+
lsr2_2,PCKCKJGC_03472,+
glyQS,PCKCKJGC_04362,+
whmD,PCKCKJGC_00463,-
rsbV_3,PCKCKJGC_03299,+
cseB_1,PCKCKJGC_01624,+
ssuB_2,PCKCKJGC_00831,+
group_5975,PCKCKJGC_00678,+
rpsO,PCKCKJGC_01203,-
group_5977,PCKCKJGC_04965,+
rplC,PCKCKJGC_03709,+
group_5979,PCKCKJGC_01304,-
group_5980,PCKCKJGC_02989,-
nuoA,PCKCKJGC_03617,+
ccpA_4,PCKCKJGC_02698,+
group_5983,PCKCKJGC_04929,+
rpsC,PCKCKJGC_03715,+
fkbP,PCKCKJGC_05140,+
gntR_2,PCKCKJGC_04645,-
group_5987,PCKCKJGC_05072,-
rpmD,PCKCKJGC_03727,+
recR,PCKCKJGC_03245,+
rplM,PCKCKJGC_03740,+
rsbW,PCKCKJGC_01665,+
group_5992,PCKCKJGC_05321,+
group_5993,PCKCKJGC_04978,-
rpsP,PCKCKJGC_01290,-
groS_1,PCKCKJGC_01875,-
group_5996,PCKCKJGC_01289,-
sucC,PCKCKJGC_03842,+
mtrA,PCKCKJGC_01988,-
group_5999,PCKCKJGC_02975,-
group_60,PCKCKJGC_00732,+
ylmA_2,PCKCKJGC_04975,+
walK,PCKCKJGC_05186,+
group_6002,PCKCKJGC_04974,-
group_6003,PCKCKJGC_05567,-
secF,PCKCKJGC_05312,+
group_6005,PCKCKJGC_00928,-
aroB,PCKCKJGC_05331,+
group_6007,PCKCKJGC_01599,-
yccF,PCKCKJGC_03664,+
group_6009,PCKCKJGC_03208,-
ycjP_1,PCKCKJGC_04588,+
group_6011,PCKCKJGC_04127,+
group_6012,PCKCKJGC_00561,+
group_6013,PCKCKJGC_00638,-
purL,PCKCKJGC_03160,+
rplT,PCKCKJGC_05183,+
hisS,PCKCKJGC_05319,+
purQ,PCKCKJGC_03159,+
aviRb_2,PCKCKJGC_05184,+
group_6019,PCKCKJGC_01201,-
group_6020,PCKCKJGC_03519,-
rsfS,PCKCKJGC_04302,+
group_6022,PCKCKJGC_03769,+
kgd,PCKCKJGC_01626,+
recF,PCKCKJGC_02997,-
group_6025,PCKCKJGC_04833,+
group_6026,PCKCKJGC_04043,+
accD5,PCKCKJGC_03983,-
dut,PCKCKJGC_01073,-
pta,PCKCKJGC_01503,+
pdxS,PCKCKJGC_05304,+
sdhB,PCKCKJGC_03906,-
group_6032,PCKCKJGC_02622,-
epi,PCKCKJGC_01538,+
corA_1,PCKCKJGC_01748,+
paaJ_2,PCKCKJGC_02261,+
fusA,PCKCKJGC_03697,+
ilvB1,PCKCKJGC_01394,-
group_6038,PCKCKJGC_01832,-
group_6039,PCKCKJGC_04484,-
dtpT_2,PCKCKJGC_03640,-
nqo4,PCKCKJGC_03459,+
group_6042,PCKCKJGC_01551,-
rdlB_2,PCKCKJGC_02270,+
tuf_1,PCKCKJGC_03698,+
group_6045,PCKCKJGC_00838,-
gltC_2,PCKCKJGC_04234,+
group_6047,PCKCKJGC_02340,+
group_6048,PCKCKJGC_01072,-
gltR,PCKCKJGC_03039,-
group_6050,PCKCKJGC_01509,-
group_6051,PCKCKJGC_04971,+
dcd,PCKCKJGC_02880,+
cysG_2,PCKCKJGC_05269,+
group_6054,PCKCKJGC_04730,+
group_6055,PCKCKJGC_03046,-
lysA_1,PCKCKJGC_01579,-
sepF_2,PCKCKJGC_04747,+
potB,PCKCKJGC_01247,-
group_6059,PCKCKJGC_03600,+
lacC_1,PCKCKJGC_00199,+
degU_2,PCKCKJGC_01983,-
group_6061,PCKCKJGC_02314,-
atpA,PCKCKJGC_01562,-
prfA,PCKCKJGC_01572,-
xylE,PCKCKJGC_01302,-
fgd_2,PCKCKJGC_00929,+
cysG_1,PCKCKJGC_03524,+
group_6067,PCKCKJGC_01744,-
group_6068,PCKCKJGC_05521,-
group_6069,PCKCKJGC_04926,+
group_607,PCKCKJGC_00204,-
ispH2,PCKCKJGC_04095,+
bkdB_1,PCKCKJGC_02952,-
gntT_1,PCKCKJGC_05097,-
group_6073,PCKCKJGC_00400,-
sigD,PCKCKJGC_01277,-
COQ5_5,PCKCKJGC_04508,+
ybiT_1,PCKCKJGC_00614,-
yceD_1,PCKCKJGC_02531,+
yfmJ_3,PCKCKJGC_04446,+
group_6079,PCKCKJGC_01821,+
abaF_1,PCKCKJGC_00216,+
guaA,PCKCKJGC_03799,+
rhmR,PCKCKJGC_01331,+
btuD_1,PCKCKJGC_00421,-
paaG,PCKCKJGC_01765,+
ipuC,PCKCKJGC_05171,+
group_6085,PCKCKJGC_02179,+
tkt,PCKCKJGC_04876,-
putC,PCKCKJGC_01384,-
group_6088,PCKCKJGC_00256,-
group_6089,PCKCKJGC_03558,+
rppH_1,PCKCKJGC_00220,-
ald,PCKCKJGC_05003,+
rpoC,PCKCKJGC_03688,+
tgnC,PCKCKJGC_03967,-
truB,PCKCKJGC_01214,-
ycbX,PCKCKJGC_00228,+
ctaB,PCKCKJGC_04877,+
glnB_2,PCKCKJGC_04602,-
icd,PCKCKJGC_05232,+
group_6107,PCKCKJGC_00808,-
yceD_2,PCKCKJGC_03185,+
lpdA,PCKCKJGC_03974,+
alkB,PCKCKJGC_00237,-
mamB,PCKCKJGC_02008,-
fadM,PCKCKJGC_01385,-
amtB,PCKCKJGC_01298,-
ybeY,PCKCKJGC_04347,+
rpoB,PCKCKJGC_03687,+
pheA,PCKCKJGC_03067,-
group_6116,PCKCKJGC_01066,-
group_6117,PCKCKJGC_01596,+
group_6118,PCKCKJGC_04151,-
group_6119,PCKCKJGC_01417,+
liaR_1,PCKCKJGC_00241,+
dnaJ2,PCKCKJGC_04326,+
aceE_2,PCKCKJGC_04471,-
poxB,PCKCKJGC_00774,-
sorC,PCKCKJGC_05357,+
atpB,PCKCKJGC_01566,-
thrB,PCKCKJGC_01576,-
yceC_1,PCKCKJGC_01038,-
glnA_2,PCKCKJGC_04629,-
ddmA1,PCKCKJGC_04418,-
ngcF,PCKCKJGC_00891,-
group_613,PCKCKJGC_00263,+
group_6130,PCKCKJGC_04046,+
uox,PCKCKJGC_00737,-
fadJ_3,PCKCKJGC_00880,+
rpe,PCKCKJGC_05356,+
argH,PCKCKJGC_05250,+
group_6135,PCKCKJGC_01940,-
pknD_2,PCKCKJGC_02114,-
ilvD,PCKCKJGC_03495,+
cmk,PCKCKJGC_05015,+
group_6139,PCKCKJGC_05618,+
group_614,PCKCKJGC_00268,-
group_6140,PCKCKJGC_01641,-
COQ2,PCKCKJGC_03561,+
mshA_2,PCKCKJGC_02650,-
group_6143,PCKCKJGC_00531,-
whiA,PCKCKJGC_04865,+
ubiX,PCKCKJGC_03562,+
group_6146,PCKCKJGC_01608,-
group_6147,PCKCKJGC_05153,+
group_6148,PCKCKJGC_03988,+
sepF_3,PCKCKJGC_05028,-
namA,PCKCKJGC_00272,+
group_6150,PCKCKJGC_05259,-
group_6151,PCKCKJGC_04200,+
group_6152,PCKCKJGC_05895,+
dasA_1,PCKCKJGC_01675,-
sigF_2,PCKCKJGC_01666,+
mcm,PCKCKJGC_01512,-
group_6156,PCKCKJGC_04977,+
oppA_2,PCKCKJGC_01805,-
group_6158,PCKCKJGC_02528,-
map-1_2,PCKCKJGC_03731,+
murK_1,PCKCKJGC_00279,+
group_6160,PCKCKJGC_01042,-
sdaA,PCKCKJGC_01433,+
whiD,PCKCKJGC_03783,-
group_6163,PCKCKJGC_01537,-
ispD,PCKCKJGC_02631,-
group_6167,PCKCKJGC_03546,-
rsmD,PCKCKJGC_01313,-
group_6169,PCKCKJGC_05353,+
group_617,PCKCKJGC_00282,+
group_6170,PCKCKJGC_01698,-
tesB_2,PCKCKJGC_04154,+
glmM,PCKCKJGC_03742,+
group_6173,PCKCKJGC_03882,+
glyA2,PCKCKJGC_01432,+
purK,PCKCKJGC_02058,-
group_6176,PCKCKJGC_00506,-
proC_2,PCKCKJGC_03503,+
rimO,PCKCKJGC_01183,-
group_6179,PCKCKJGC_02116,-
gadA_1,PCKCKJGC_00285,+
group_6180,PCKCKJGC_01299,-
ychF,PCKCKJGC_04098,+
frcA,PCKCKJGC_00887,-
group_6183,PCKCKJGC_01965,+
lldR_1,PCKCKJGC_04961,-
coaA,PCKCKJGC_03743,-
group_6186,PCKCKJGC_00454,+
ahpD,PCKCKJGC_04068,+
nrdB,PCKCKJGC_01680,+
group_6189,PCKCKJGC_01259,+
aspC1,PCKCKJGC_03678,-
legI,PCKCKJGC_03927,+
group_6192,PCKCKJGC_05489,+
group_6193,PCKCKJGC_01300,+
group_6194,PCKCKJGC_01521,+
ribBA,PCKCKJGC_05378,+
group_6196,PCKCKJGC_00487,+
acrC_2,PCKCKJGC_04153,+
disA,PCKCKJGC_03484,-
lon_1,PCKCKJGC_01614,-
copA,PCKCKJGC_00993,-
recO,PCKCKJGC_04356,+
citT_1,PCKCKJGC_04420,+
group_6202,PCKCKJGC_00844,+
metG,PCKCKJGC_02894,-
group_6204,PCKCKJGC_04510,-
sglT,PCKCKJGC_02184,+
tyrS,PCKCKJGC_04957,-
group_6207,PCKCKJGC_00471,-
tesB_1,PCKCKJGC_00329,+
murAA_2,PCKCKJGC_01938,+
group_6210,PCKCKJGC_01667,-
rplL,PCKCKJGC_03686,+
yegS,PCKCKJGC_01668,+
glkA_1,PCKCKJGC_00693,-
group_6214,PCKCKJGC_00328,+
tdcB_2,PCKCKJGC_04005,+
yhdG_2,PCKCKJGC_00922,-
ahcY,PCKCKJGC_02007,-
frdA,PCKCKJGC_05641,+
glpQ_1,PCKCKJGC_00258,+
group_622,PCKCKJGC_00356,+
vraR_2,PCKCKJGC_04466,-
pdtaS,PCKCKJGC_01670,-
group_6222,PCKCKJGC_01086,+
group_6223,PCKCKJGC_04027,-
group_6224,PCKCKJGC_02161,-
ubiD,PCKCKJGC_03560,+
group_6226,PCKCKJGC_04132,-
ypdB,PCKCKJGC_05623,+
tal_2,PCKCKJGC_04875,-
cobIJ,PCKCKJGC_04614,+
group_623,PCKCKJGC_00302,+
group_6230,PCKCKJGC_00687,+
group_6231,PCKCKJGC_01850,-
group_6232,PCKCKJGC_03973,-
glpR,PCKCKJGC_01046,+
yfiZ_1,PCKCKJGC_00601,+
kgtP_2,PCKCKJGC_01446,+
clpP1_1,PCKCKJGC_00384,-
paaJ_1,PCKCKJGC_00879,+
nagC_1,PCKCKJGC_00889,-
gatY,PCKCKJGC_02526,+
group_624,PCKCKJGC_00313,-
argG,PCKCKJGC_01617,-
mnmA,PCKCKJGC_01416,-
hisG,PCKCKJGC_05381,+
group_6245,PCKCKJGC_00686,+
group_6246,PCKCKJGC_03518,-
group_6247,PCKCKJGC_02910,-
group_6248,PCKCKJGC_04260,-
group_6249,PCKCKJGC_04348,+
ssuB_1,PCKCKJGC_00315,+
murT,PCKCKJGC_05570,-
rnc,PCKCKJGC_01308,-
group_6252,PCKCKJGC_01643,+
ideR,PCKCKJGC_02365,-
secA,PCKCKJGC_01980,-
ptsI_2,PCKCKJGC_05421,-
group_6256,PCKCKJGC_00253,+
thlA_2,PCKCKJGC_02088,+
group_6258,PCKCKJGC_04033,-
grpE,PCKCKJGC_02850,-
ssuA,PCKCKJGC_00316,+
dasC_3,PCKCKJGC_01673,-
group_6261,PCKCKJGC_05004,+
gap2_3,PCKCKJGC_04866,+
group_6263,PCKCKJGC_02107,-
group_6264,PCKCKJGC_03041,-
eno_1,PCKCKJGC_02108,-
czcO,PCKCKJGC_00318,+
fepD_2,PCKCKJGC_00958,-
pfkA2_2,PCKCKJGC_05568,-
dnaK,PCKCKJGC_02851,-
hemL,PCKCKJGC_03548,+
ohrB,PCKCKJGC_04447,+
fhaB,PCKCKJGC_02966,+
group_6277,PCKCKJGC_03079,-
leuC,PCKCKJGC_01330,-
pbuG,PCKCKJGC_00762,-
group_628,PCKCKJGC_00330,+
group_6280,PCKCKJGC_05266,+
korA,PCKCKJGC_03650,-
sepF_1,PCKCKJGC_00933,-
group_6283,PCKCKJGC_01701,+
atpG,PCKCKJGC_01561,-
group_6285,PCKCKJGC_04048,+
group_6286,PCKCKJGC_05462,+
pstP,PCKCKJGC_02967,+
coaD,PCKCKJGC_01312,-
ppgK,PCKCKJGC_04096,+
group_629,PCKCKJGC_00331,-
group_6290,PCKCKJGC_02692,-
lutB,PCKCKJGC_00939,-
korB,PCKCKJGC_03649,-
gpmA_1,PCKCKJGC_01124,-
liaR_8,PCKCKJGC_04972,+
ylbL,PCKCKJGC_01702,-
group_6296,PCKCKJGC_03022,-
group_6297,PCKCKJGC_03447,+
etfA,PCKCKJGC_00249,-
group_6299,PCKCKJGC_04635,+
group_630,PCKCKJGC_00333,+
group_6300,PCKCKJGC_02017,+
aceE_3,PCKCKJGC_04644,-
gpgP,PCKCKJGC_04303,+
clpS,PCKCKJGC_01893,-
group_6304,PCKCKJGC_04230,+
group_6305,PCKCKJGC_01513,-
group_6306,PCKCKJGC_02617,+
aroC,PCKCKJGC_05329,+
pnp_1,PCKCKJGC_01202,-
trpB,PCKCKJGC_04788,+
COQ5_1,PCKCKJGC_00335,+
hrcA,PCKCKJGC_04325,+
group_6311,PCKCKJGC_01083,+
group_6312,PCKCKJGC_05129,+
group_6313,PCKCKJGC_00542,-
csd_3,PCKCKJGC_04888,+
proB,PCKCKJGC_04291,+
pdtaR,PCKCKJGC_04817,+
hutH,PCKCKJGC_03989,+
der,PCKCKJGC_05017,+
fadF,PCKCKJGC_02886,-
group_632,PCKCKJGC_00339,-
relA,PCKCKJGC_05314,+
paaF,PCKCKJGC_03986,+
group_6322,PCKCKJGC_02357,-
glmS_3,PCKCKJGC_04128,-
dapE_3,PCKCKJGC_01774,-
phoU2,PCKCKJGC_02636,+
group_6326,PCKCKJGC_04733,-
group_6327,PCKCKJGC_01341,-
xylA,PCKCKJGC_00345,-
group_6329,PCKCKJGC_01752,+
group_633,PCKCKJGC_00342,+
lpdC,PCKCKJGC_00786,+
adhC2,PCKCKJGC_03994,+
group_6332,PCKCKJGC_04501,-
rnhB,PCKCKJGC_01121,-
group_6334,PCKCKJGC_03019,-
caiD_3,PCKCKJGC_04930,+
ngcE,PCKCKJGC_00892,-
group_6337,PCKCKJGC_04966,-
sigF_3,PCKCKJGC_03104,-
rpsA,PCKCKJGC_04831,+
group_634,PCKCKJGC_00344,-
group_6340,PCKCKJGC_04631,-
group_6341,PCKCKJGC_01753,+
group_6342,PCKCKJGC_03601,+
dop,PCKCKJGC_05132,+
deoC,PCKCKJGC_03969,-
group_6345,PCKCKJGC_04696,-
kdpE_1,PCKCKJGC_01067,-
lvr_2,PCKCKJGC_05173,+
group_6348,PCKCKJGC_05401,+
group_6349,PCKCKJGC_04706,+
yfmJ_1,PCKCKJGC_00350,-
group_6350,PCKCKJGC_00640,-
gpt,PCKCKJGC_02881,+
rplS,PCKCKJGC_01286,-
obg,PCKCKJGC_04287,+
pheP,PCKCKJGC_01890,-
dnaE2,PCKCKJGC_05041,+
group_6356,PCKCKJGC_05395,-
group_6357,PCKCKJGC_04690,+
group_6358,PCKCKJGC_05908,+
group_636,PCKCKJGC_00351,-
group_6361,PCKCKJGC_04561,+
group_637,PCKCKJGC_00379,-
gltB,PCKCKJGC_04800,+
group_6371,PCKCKJGC_02429,-
crp_2,PCKCKJGC_03694,-
dmdB,PCKCKJGC_03086,+
yhdG_4,PCKCKJGC_05169,-
group_6375,PCKCKJGC_03149,+
group_6376,PCKCKJGC_04705,-
trmI,PCKCKJGC_05128,+
glnQ_2,PCKCKJGC_01152,+
rex,PCKCKJGC_03521,+
group_638,PCKCKJGC_00382,+
trpC,PCKCKJGC_04787,+
group_6381,PCKCKJGC_05848,-
gltC_4,PCKCKJGC_05639,-
ectB_2,PCKCKJGC_04908,-
dapL,PCKCKJGC_01778,-
orn,PCKCKJGC_04124,-
pyrF,PCKCKJGC_05344,+
purD_1,PCKCKJGC_03147,+
group_639,PCKCKJGC_00403,-
bphA3,PCKCKJGC_04886,+
rbsC_1,PCKCKJGC_00540,-
serA,PCKCKJGC_01391,-
group_6396,PCKCKJGC_04646,-
guaB1,PCKCKJGC_05363,+
group_6398,PCKCKJGC_01570,-
atpD,PCKCKJGC_01560,-
ctpA_2,PCKCKJGC_04168,-
group_640,PCKCKJGC_00420,-
nuoN,PCKCKJGC_03631,+
group_6401,PCKCKJGC_02416,-
fba,PCKCKJGC_02827,-
group_6403,PCKCKJGC_01931,-
group_6404,PCKCKJGC_03288,-
maiA_1,PCKCKJGC_01828,-
group_6406,PCKCKJGC_05722,-
mcd,PCKCKJGC_00610,+
atpC,PCKCKJGC_01559,-
nuoM,PCKCKJGC_03630,+
group_6410,PCKCKJGC_01569,-
gatA,PCKCKJGC_01407,-
dapE_4,PCKCKJGC_05103,+
dapA,PCKCKJGC_01195,-
pal,PCKCKJGC_04052,+
group_6415,PCKCKJGC_02824,-
nucS,PCKCKJGC_01548,+
gyrBR,PCKCKJGC_02995,-
fadA_1,PCKCKJGC_00449,-
btuD_8,PCKCKJGC_01801,-
group_642,PCKCKJGC_00422,-
group_6420,PCKCKJGC_03476,+
pyk_1,PCKCKJGC_01505,+
radA_1,PCKCKJGC_03030,+
acuC,PCKCKJGC_03510,+
group_6424,PCKCKJGC_04968,-
ydjF,PCKCKJGC_04657,+
group_6426,PCKCKJGC_03049,-
dppB_1,PCKCKJGC_01207,+
group_6428,PCKCKJGC_02922,+
gyrA_2,PCKCKJGC_02994,-
dpgD,PCKCKJGC_00435,+
spoIIAB,PCKCKJGC_03300,+
group_6431,PCKCKJGC_03908,-
group_6432,PCKCKJGC_02453,+
aroH,PCKCKJGC_04711,+
davT,PCKCKJGC_03240,+
alaS_2,PCKCKJGC_05325,+
pyk_2,PCKCKJGC_04814,+
entH,PCKCKJGC_04824,-
group_6438,PCKCKJGC_03603,+
iolS_1,PCKCKJGC_01397,+
group_644,PCKCKJGC_00436,+
ndhC_2,PCKCKJGC_03654,+
group_6441,PCKCKJGC_02501,-
group_6442,PCKCKJGC_01714,-
group_6443,PCKCKJGC_01709,-
glpD2_1,PCKCKJGC_03789,+
dppA_1,PCKCKJGC_00589,-
osmC,PCKCKJGC_00564,-
tolB,PCKCKJGC_03254,-
rsgA_2,PCKCKJGC_01691,+
mrp,PCKCKJGC_01754,+
ade_1,PCKCKJGC_00441,+
group_6450,PCKCKJGC_00425,-
folP2,PCKCKJGC_01769,+
group_6452,PCKCKJGC_03007,+
glgX_1,PCKCKJGC_00847,+
group_6454,PCKCKJGC_01948,-
hrdB_1,PCKCKJGC_01112,-
nuoH_3,PCKCKJGC_03656,+
group_6457,PCKCKJGC_02624,-
group_6458,PCKCKJGC_04640,-
group_6459,PCKCKJGC_02769,-
ccrA2,PCKCKJGC_00606,+
acm_1,PCKCKJGC_00357,+
group_6462,PCKCKJGC_03380,+
group_6463,PCKCKJGC_04780,-
fadB2,PCKCKJGC_05223,-
sodN,PCKCKJGC_01648,+
mqnE,PCKCKJGC_03565,+
copR_2,PCKCKJGC_04684,-
group_6468,PCKCKJGC_03064,+
asd_1,PCKCKJGC_03250,+
group_647,PCKCKJGC_00480,-
group_6470,PCKCKJGC_05413,+
fgd_5,PCKCKJGC_03543,+
group_6472,PCKCKJGC_05008,+
codAch2,PCKCKJGC_03669,-
nadD,PCKCKJGC_04300,+
hisD,PCKCKJGC_04771,+
group_6476,PCKCKJGC_02844,-
appC,PCKCKJGC_03052,+
whiB_3,PCKCKJGC_03270,+
group_6479,PCKCKJGC_02103,+
group_648,PCKCKJGC_00484,+
zwf2,PCKCKJGC_04874,-
pyrG,PCKCKJGC_05000,+
clpP2_2,PCKCKJGC_04266,+
group_6483,PCKCKJGC_05576,+
exuR,PCKCKJGC_03050,-
fumA,PCKCKJGC_04081,-
proS,PCKCKJGC_01224,-
nudL,PCKCKJGC_03279,+
shbA,PCKCKJGC_03785,+
pckG,PCKCKJGC_04026,+
group_649,PCKCKJGC_00485,-
group_6490,PCKCKJGC_04275,+
rsbV_2,PCKCKJGC_02350,-
yabJ,PCKCKJGC_04036,+
fepC_5,PCKCKJGC_02863,-
gbpA_1,PCKCKJGC_01842,-
fadD3,PCKCKJGC_00752,-
menJ,PCKCKJGC_03615,+
group_6497,PCKCKJGC_03071,-
sugA,PCKCKJGC_01048,+
asnC_2,PCKCKJGC_01905,+
group_65,PCKCKJGC_01213,-
griR_1,PCKCKJGC_00486,-
group_6500,PCKCKJGC_03737,+
group_6501,PCKCKJGC_02448,-
group_6502,PCKCKJGC_00984,-
pyrH,PCKCKJGC_01272,-
ahpE,PCKCKJGC_04473,+
gtaB,PCKCKJGC_02232,-
group_6506,PCKCKJGC_00280,+
mglA_1,PCKCKJGC_00520,-
rsrA,PCKCKJGC_01685,-
group_6509,PCKCKJGC_01428,-
group_651,PCKCKJGC_00488,+
pbsA1,PCKCKJGC_04558,-
kstR2,PCKCKJGC_05084,+
smpB,PCKCKJGC_01953,-
ribM,PCKCKJGC_05377,+
group_6514,PCKCKJGC_04490,-
group_6515,PCKCKJGC_04335,+
lon_2,PCKCKJGC_04768,-
group_6517,PCKCKJGC_04180,+
mctC_2,PCKCKJGC_04949,+
yfcA,PCKCKJGC_04382,+
slyA,PCKCKJGC_00498,+
sigE_4,PCKCKJGC_03480,-
fabH_1,PCKCKJGC_00543,-
fbiD_2,PCKCKJGC_02560,-
artM,PCKCKJGC_01644,+
nuoF,PCKCKJGC_03623,+
argJ,PCKCKJGC_05240,+
ppdK,PCKCKJGC_04381,+
gbsA,PCKCKJGC_03860,+
group_6528,PCKCKJGC_04753,+
gsiD_5,PCKCKJGC_01798,-
pobB,PCKCKJGC_00502,-
group_6530,PCKCKJGC_04896,-
group_6531,PCKCKJGC_01684,-
macB_1,PCKCKJGC_02098,+
cugP_2,PCKCKJGC_05427,+
yceC_2,PCKCKJGC_04853,+
rpsM,PCKCKJGC_03734,+
czcD,PCKCKJGC_00428,+
yidA_1,PCKCKJGC_03065,-
group_6538,PCKCKJGC_02301,-
ettA_2,PCKCKJGC_02190,-
nadX,PCKCKJGC_00508,-
punA,PCKCKJGC_03972,-
regX3_2,PCKCKJGC_02061,-
rplK,PCKCKJGC_03682,+
rplA,PCKCKJGC_03683,+
mdh,PCKCKJGC_03856,+
group_6545,PCKCKJGC_04073,-
groL2,PCKCKJGC_02498,-
ctaD_2,PCKCKJGC_00951,+
rplJ,PCKCKJGC_03685,+
ffh,PCKCKJGC_01295,-
adoK,PCKCKJGC_04668,+
ftsH_3,PCKCKJGC_03421,+
iclR_1,PCKCKJGC_00707,+
guaB,PCKCKJGC_03786,+
add2,PCKCKJGC_01253,+
gcvT_2,PCKCKJGC_02682,-
murG,PCKCKJGC_04742,+
group_6557,PCKCKJGC_03787,+
def_1,PCKCKJGC_01683,-
gpsA,PCKCKJGC_01323,-
betB,PCKCKJGC_00510,-
wbpA,PCKCKJGC_03788,-
qcrB,PCKCKJGC_04678,+
group_6562,PCKCKJGC_04337,+
acdA_4,PCKCKJGC_05573,+
hspR,PCKCKJGC_02847,-
mutT2,PCKCKJGC_01812,-
group_6566,PCKCKJGC_04840,-
group_6567,PCKCKJGC_03893,-
ftsZ,PCKCKJGC_04744,+
nusG,PCKCKJGC_03681,+
group_657,PCKCKJGC_00515,+
htpX_4,PCKCKJGC_05585,-
glpX,PCKCKJGC_04089,-
group_6572,PCKCKJGC_01047,+
group_6573,PCKCKJGC_01970,-
trxB,PCKCKJGC_03009,-
glnM_1,PCKCKJGC_00649,-
group_6576,PCKCKJGC_00684,+
gabD1_2,PCKCKJGC_04608,-
murAA_1,PCKCKJGC_00899,+
group_6579,PCKCKJGC_03081,+
group_658,PCKCKJGC_00532,-
kdsB,PCKCKJGC_03926,+
fadJ_1,PCKCKJGC_00448,-
group_6582,PCKCKJGC_02010,-
aspS,PCKCKJGC_02916,-
group_6584,PCKCKJGC_01226,-
rip1,PCKCKJGC_01234,-
dppB_3,PCKCKJGC_01799,-
dppB_2,PCKCKJGC_01425,-
hisF,PCKCKJGC_04778,+
lepA,PCKCKJGC_04320,+
group_659,PCKCKJGC_00536,-
oppD_5,PCKCKJGC_01802,-
dxs,PCKCKJGC_00885,-
hemE,PCKCKJGC_00875,-
greA,PCKCKJGC_04008,-
dasA_2,PCKCKJGC_01935,-
murF_2,PCKCKJGC_04738,+
moeZ,PCKCKJGC_01728,-
group_6597,PCKCKJGC_00696,-
leuE,PCKCKJGC_03922,+
plsC_2,PCKCKJGC_05255,-
iolG_1,PCKCKJGC_00537,-
sigR,PCKCKJGC_01686,-
gyrA_1,PCKCKJGC_01097,+
group_6602,PCKCKJGC_00886,-
nuoH_2,PCKCKJGC_03625,+
yieH_2,PCKCKJGC_04626,-
group_6605,PCKCKJGC_03098,-
tal_1,PCKCKJGC_01730,-
group_6607,PCKCKJGC_04863,+
maiA_2,PCKCKJGC_01829,-
ctaD_3,PCKCKJGC_04671,+
group_6610,PCKCKJGC_04884,+
egtC,PCKCKJGC_05648,-
group_6612,PCKCKJGC_03280,+
group_6613,PCKCKJGC_02291,-
mrdA_3,PCKCKJGC_04277,+
group_6615,PCKCKJGC_05216,+
sucD_2,PCKCKJGC_03843,+
group_6617,PCKCKJGC_03482,-
acdS,PCKCKJGC_04336,+
mmcR,PCKCKJGC_00565,+
tig,PCKCKJGC_04264,+
codA,PCKCKJGC_03861,+
rutD_1,PCKCKJGC_00657,-
group_663,PCKCKJGC_00570,-
group_6630,PCKCKJGC_05411,+
snpA,PCKCKJGC_03894,+
group_6632,PCKCKJGC_03181,+
ppc,PCKCKJGC_02175,-
gabT,PCKCKJGC_01241,+
opuCB,PCKCKJGC_01906,+
lppS,PCKCKJGC_04673,+
drrA_7,PCKCKJGC_04882,-
recA,PCKCKJGC_01160,-
dinG_4,PCKCKJGC_04941,-
nap,PCKCKJGC_00578,-
nagE2,PCKCKJGC_01884,+
lnrL_4,PCKCKJGC_03063,+
group_6642,PCKCKJGC_02768,-
pstB1,PCKCKJGC_02767,+
group_6644,PCKCKJGC_05792,+
group_6645,PCKCKJGC_05522,-
sdhA,PCKCKJGC_03907,-
group_6647,PCKCKJGC_02594,+
group_6648,PCKCKJGC_02948,-
group_6649,PCKCKJGC_00417,-
qorB_1,PCKCKJGC_00617,-
